p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,converged,runtime_sec,error
3,0,0,2,0,3,12,9,335.93559307382327,368.4058337954281,349.08881452360475,-157.96779653691164,True,1.4061498000010033,
3,0,0,2,1,3,12,9,338.5239232850808,370.34175878800164,351.4269095198184,-159.2619616425404,True,2.848723600000085,
3,0,1,0,0,3,12,8,335.2888345127598,364.4645576482966,347.108621679346,-158.6444172563799,True,0.8790784000011627,
3,0,1,0,1,3,12,8,339.4572961514406,368.042643744605,351.0504028818164,-160.7286480757203,True,3.99188359999971,
3,0,1,1,0,3,12,9,335.7961244058093,368.2135945564057,348.9292212575717,-157.89806220290464,True,1.3562830000009853,
3,0,1,1,1,3,12,9,336.9823439382599,368.74384126399815,349.86357363867745,-158.49117196912994,True,7.074117300002399,
3,0,1,2,0,3,12,10,336.8315806544968,372.49079782015286,351.2779871914355,-157.4157903272484,True,2.444810000000871,
3,0,1,2,1,3,12,10,338.11945936258405,373.05710642089616,352.2888120330434,-158.05972968129203,True,3.708959899999172,
3,0,2,0,0,3,12,9,335.83692526083746,368.201344889137,348.9497703202561,-157.91846263041873,True,1.1066348000022117,
3,0,2,0,1,3,12,9,340.28966247412916,371.99450242451064,353.1489884781325,-160.14483123706458,True,9.38612650000141,
3,0,2,1,0,3,12,10,335.82952279750225,371.4303843886317,350.2536523628628,-156.91476139875112,True,1.8264517999996315,
3,0,2,1,1,3,12,10,335.7350809392045,370.6104048846242,349.88033954360816,-156.86754046960226,True,6.123077500000363,
3,0,2,2,0,3,12,11,336.8346464658536,375.671950019813,352.570060537156,-156.4173232329268,True,2.819850999996561,
3,0,2,2,1,3,12,11,337.5873041427364,375.6331120831942,353.01849534754035,-156.7936520713682,True,14.585084099999222,
3,0,3,0,0,3,12,10,335.50421094251004,371.0464057279105,349.9059219638725,-156.75210547125502,True,2.6259772999983397,
3,0,3,0,1,3,12,10,339.42240651026646,374.2350522234251,353.5434071170369,-158.71120325513323,True,7.145618899998226,
3,0,3,1,0,3,12,11,336.1251805936496,374.8984839959046,351.83613807149953,-156.0625902968248,True,2.714838400002918,
3,0,3,1,1,3,12,11,335.60081307771384,373.578244764796,351.00554101237253,-155.80040653885692,True,10.306211799997982,
3,0,3,2,0,3,12,12,333.78002867854525,375.7844406976549,350.8002326128827,-153.89001433927262,True,6.117969200000516,
3,0,3,2,1,3,12,12,337.14655127682914,378.28876893783485,353.835006539376,-155.57327563841457,True,15.263998900001752,
3,0,4,0,0,3,12,11,333.9263751964306,372.63533528098907,349.6127197972547,-154.9631875982153,True,5.875627100002021,
