date,UK_CPI_lag1,UK_CPI_lag3,UK_CPI_lag6,UK_CPI_lag12,UK_POLICY_RATE_lag1,UK_POLICY_RATE_lag3,UK_POLICY_RATE_lag6,UK_POLICY_RATE_lag12,UK_UNEMPLOYMENT_lag1,UK_UNEMPLOYMENT_lag3,UK_UNEMPLOYMENT_lag6,UK_UNEMPLOYMENT_lag12,UK_GDP_lag1,UK_GDP_lag3,UK_GDP_lag6,UK_GDP_lag12,UK_M2_lag1,UK_M2_lag3,UK_M2_lag6,UK_M2_lag12
2005-11-01,0.1250781901652455,0.25125641358831385,0.3785493479481886,0.2557546151117193,-0.1253000000000002,-0.17710000000000026,-0.10459999999999958,0.011099999999999888,0.1999999999999993,0.0,0.0,0.0,3.618087,3.215571,2.630705,1.775076,1.317013000000001,-0.376949999999999,0.9779450000000001,0.18252500000000005
2005-12-01,0.0,0.2506266976059759,0.0,0.3824096438403476,0.12119999999999997,-0.027599999999999625,0.08559999999999945,0.020999999999999908,0.0,0.20000000000000018,-0.09999999999999964,0.0,3.476344,3.417134,2.822278,1.928462,-0.5008949999999999,0.36366799999999877,0.5948879999999992,-0.47772900000000007
2006-01-01,0.3742986278834297,0.1250781901652455,0.1258653407196106,-0.38240964384033943,0.09229999999999983,-0.1253000000000002,-0.038899999999999935,-0.0019000000000000128,0.0,0.1999999999999993,0.0,0.09999999999999964,3.335326,3.618087,3.013395,2.081525,0.3682829999999999,1.317013000000001,0.3135779999999997,-1.3773780000000002
2006-02-01,-0.3742986278834392,0.0,0.25125641358831385,0.25510217916054256,-0.15519999999999978,0.12119999999999997,-0.17710000000000026,0.05609999999999982,0.10000000000000053,0.0,0.0,-0.09999999999999964,3.195029,3.476344,3.215571,2.200956,-0.15456999999999965,-0.5008949999999999,-0.376949999999999,-0.2671349999999997
2006-03-01,0.24968801985871458,0.3742986278834297,0.2506266976059759,0.3814372075470693,-0.05739999999999945,0.09229999999999983,-0.027599999999999625,-0.054199999999999804,0.0,0.0,0.20000000000000018,0.0,3.000579,3.335326,3.417134,2.320006,-0.05877200000000116,0.3682829999999999,0.36366799999999877,0.634029
2006-04-01,0.24906613124518304,-0.3742986278834392,0.1250781901652455,0.3799877909774621,0.11469999999999914,-0.15519999999999978,-0.1253000000000002,0.05069999999999997,0.09999999999999964,0.10000000000000053,0.1999999999999993,0.09999999999999964,2.807202,3.195029,3.618087,2.438676,1.7211110000000005,-0.15456999999999965,1.317013000000001,0.11247000000000007
2006-05-01,0.619964787952543,0.24968801985871458,0.0,0.3785493479481886,-0.047399999999999665,-0.05739999999999945,0.12119999999999997,-0.10459999999999958,0.10000000000000053,0.0,0.0,0.0,2.614888,3.000579,3.476344,2.630705,0.45438000000000045,-0.05877200000000116,-0.5008949999999999,0.9779450000000001
2006-06-01,0.4932192489318872,0.24906613124518304,0.3742986278834297,0.0,0.016499999999999737,0.11469999999999914,0.09229999999999983,0.08559999999999945,0.09999999999999964,0.09999999999999964,0.0,-0.09999999999999964,2.354576,2.807202,3.335326,2.822278,-1.330591,1.7211110000000005,0.3682829999999999,0.5948879999999992
2006-07-01,0.2457003693052084,0.619964787952543,-0.3742986278834392,0.1258653407196106,0.06190000000000051,-0.047399999999999665,-0.15519999999999978,-0.038899999999999935,0.0,0.10000000000000053,0.10000000000000053,0.0,2.095851,2.614888,3.195029,3.013395,-0.6710790000000006,0.45438000000000045,-0.15456999999999965,0.3135779999999997
2006-08-01,0.0,0.4932192489318872,0.24968801985871458,0.25125641358831385,-0.025300000000000544,0.016499999999999737,-0.05739999999999945,-0.17710000000000026,0.0,0.09999999999999964,0.0,0.0,1.8387,2.354576,3.000579,3.215571,0.07885100000000023,-1.330591,-0.05877200000000116,-0.376949999999999
2006-09-01,0.36742233618843256,0.2457003693052084,0.24906613124518304,0.2506266976059759,0.2567000000000004,0.06190000000000051,0.11469999999999914,-0.027599999999999625,0.0,0.0,0.09999999999999964,0.20000000000000018,1.60515,2.095851,2.807202,3.417134,0.6719340000000003,-0.6710790000000006,1.7211110000000005,0.36366799999999877
2006-10-01,0.1221747250322513,0.0,0.619964787952543,0.1250781901652455,-0.013399999999999856,-0.025300000000000544,-0.047399999999999665,-0.1253000000000002,0.0,0.0,0.10000000000000053,0.1999999999999993,1.373218,1.8387,2.614888,3.618087,0.6346729999999994,0.07885100000000023,0.45438000000000045,1.317013000000001
2006-11-01,0.1220256405229369,0.36742233618843256,0.4932192489318872,0.0,0.03629999999999978,0.2567000000000004,0.016499999999999737,0.12119999999999997,-0.09999999999999964,0.0,0.09999999999999964,0.0,1.142886,1.60515,2.354576,3.476344,-0.048947000000000074,0.6719340000000003,-1.330591,-0.5008949999999999
2006-12-01,0.2436054797881121,0.1221747250322513,0.2457003693052084,0.3742986278834297,0.17130000000000045,-0.013399999999999856,0.06190000000000051,0.09229999999999983,0.09999999999999964,0.0,0.0,0.0,1.391256,1.373218,2.095851,3.335326,0.25603700000000096,0.6346729999999994,-0.6710790000000006,0.3682829999999999
2007-01-01,0.4854378464798143,0.1220256405229369,0.0,-0.3742986278834392,0.08759999999999923,0.03629999999999978,-0.025300000000000544,-0.15519999999999978,0.0,-0.09999999999999964,0.0,0.10000000000000053,1.639032,1.142886,1.8387,3.195029,-0.177759,-0.048947000000000074,0.07885100000000023,-0.15456999999999965
2007-02-01,-0.6071664068549796,0.2436054797881121,0.36742233618843256,0.24968801985871458,0.13870000000000005,0.17130000000000045,0.2567000000000004,-0.05739999999999945,0.0,0.09999999999999964,0.0,0.0,1.886215,1.391256,1.60515,3.000579,0.16546199999999978,0.25603700000000096,0.6719340000000003,-0.05877200000000116
2007-03-01,0.3647420457043568,0.4854378464798143,0.1221747250322513,0.24906613124518304,0.09520000000000017,0.08759999999999923,-0.013399999999999856,0.11469999999999914,0.0,0.0,0.0,0.09999999999999964,2.115278,1.639032,1.373218,2.807202,0.07425499999999907,-0.177759,0.6346729999999994,1.7211110000000005
2007-04-01,0.4842624475787991,-0.6071664068549796,0.1220256405229369,0.619964787952543,-0.015099999999999447,0.13870000000000005,0.03629999999999978,-0.047399999999999665,0.0,0.0,-0.09999999999999964,0.10000000000000053,2.343936,1.886215,1.142886,2.614888,-0.9949149999999989,0.16546199999999978,-0.048947000000000074,0.45438000000000045
