country,break_name,break_date,y_form,variable,coef_pre,se_pre,coef_post,se_post,delta,se_delta,z_stat,p_value,n_pre,n_post
JAPAN,GFC_2008,2008-09,first_diff,POLICY_RATE,0.6161563976308906,0.6321105544720373,2.1942459523780062,1.455440685807896,1.5780895547471157,1.5867801810521536,0.9945231063452813,0.31996826192003613,91,206
JAPAN,GFC_2008,2008-09,first_diff,UNEMPLOYMENT,0.12830905409695018,0.23403614279173612,-0.166232083982739,0.18257862995685836,-0.2945411380796892,0.2968297024385486,-0.9922899752280241,0.3210560921048342,91,206
JAPAN,GFC_2008,2008-09,first_diff,GDP,-0.010225502077923235,0.03386452372680798,0.006053459619742752,0.010317567546619465,0.016278961697665986,0.03540138651695151,0.4598396644682549,0.645631310475645,91,206
JAPAN,GFC_2008,2008-09,first_diff,M2,0.09948591879003876,0.1671406891821163,-0.09663936984680338,0.05556792964660481,-0.19612528863684214,0.17613575669205508,-1.1134893466278715,0.26549832123622874,91,206
JAPAN,COVID_2020,2020-03,first_diff,const,0.0061505114543055,0.020218366405787343,0.19130218743273977,0.04095632245274066,0.18515167597843427,0.045674967859556714,4.053679392785701,5.041830350971388e-05,229,68
JAPAN,COVID_2020,2020-03,first_diff,POLICY_RATE,1.568171288216104,1.0170798320900045,0.0784620108565276,1.641367814940313,-1.4897092773595766,1.9309426943247616,-0.7714932616788601,0.4404146148996497,229,68
JAPAN,COVID_2020,2020-03,first_diff,UNEMPLOYMENT,-0.02894008279593695,0.13037993354881205,-0.6961232714711424,0.5060749958853165,-0.6671831886752054,0.5226000655688016,-1.2766611269920882,0.20172191103640635,229,68
JAPAN,COVID_2020,2020-03,first_diff,GDP,0.012561236146733663,0.007429614523274144,-0.018500432685051325,0.02621965569850353,-0.03106166883178499,0.027251963542330573,-1.1397956254982062,0.25437145664630156,229,68
JAPAN,COVID_2020,2020-03,first_diff,M2,0.03657734992755382,0.11723885599015002,-0.20545317993407042,0.10207184244830242,-0.24203052986162424,0.15544648717378662,-1.5570022472816518,0.11946995185885223,229,68
JAPAN,ENERGY_2022,2022-02,first_diff,const,0.009796888685556102,0.018408113612319633,0.25469460242801145,0.045598331380700255,0.24489771374245534,0.04917383929965425,4.980243910793788,6.350418497724775e-07,252,45
JAPAN,ENERGY_2022,2022-02,first_diff,POLICY_RATE,1.5889258242212894,1.011683213984948,-0.45597006206572405,1.8821723524448608,-2.0448958862870135,2.136837778065227,-0.9569729191789837,0.3385809239022084,252,45
JAPAN,ENERGY_2022,2022-02,first_diff,UNEMPLOYMENT,-0.11263562564187621,0.14786235892373942,-0.24696824959697822,0.551802999716316,-0.134332623955102,0.5712703630352421,-0.23514719587652566,0.8140944884747796,252,45
JAPAN,ENERGY_2022,2022-02,first_diff,GDP,0.005879094549246695,0.008315842525287054,0.021108299202652794,0.036804119208244945,0.0152292046534061,0.03773190198757647,0.40361614048558797,0.6864950147910507,252,45
JAPAN,ENERGY_2022,2022-02,first_diff,M2,-0.041264469612038925,0.057957394874433826,-0.23999668689331216,0.23431754858348128,-0.19873221728127324,0.24137889964701378,-0.8233205867285586,0.41032570958160886,252,45
UK,GFC_2008,2008-09,log_diff_pct,const,0.282924944245336,0.07768764599207395,0.20901733153117943,0.02370886794912558,-0.07390761271415655,0.08122487771131993,-0.9099134993693735,0.36286812994288553,91,199
UK,GFC_2008,2008-09,log_diff_pct,POLICY_RATE,0.04595976861629771,0.10721350751554563,0.38027939924255016,0.14903532876786751,0.3343196306262525,0.1835926616581728,1.8209858041532996,0.06860901479878811,91,199
UK,GFC_2008,2008-09,log_diff_pct,UNEMPLOYMENT,-0.26536580702891344,0.3519959398038089,0.23770418776173877,0.20749884647756375,0.5030699947906522,0.40860361345426965,1.231193210793656,0.21825061004257762,91,199
UK,GFC_2008,2008-09,log_diff_pct,GDP,-0.039700288315418227,0.027357629107044625,0.014503205032061055,0.003949125258011009,0.05420349334747928,0.027641191375591533,1.9609680570911825,0.04988274924844771,91,199
UK,GFC_2008,2008-09,log_diff_pct,M2,-0.03710997171100729,0.0389227333003182,0.0005841173323626285,0.01778155931933875,0.03769408904336992,0.04279209061724914,0.8808657978532075,0.37839046135231946,91,199
UK,COVID_2020,2020-03,log_diff_pct,const,0.1772192803228311,0.021112754819939,0.2974848814787834,0.04383456736903924,0.12026560115595228,0.04865406162405866,2.471851211214869,0.013441544702441188,229,61
UK,COVID_2020,2020-03,log_diff_pct,POLICY_RATE,0.10145560185243287,0.07638261964732465,0.6847435996304694,0.24369756734908612,0.5832879977780365,0.2553875660952393,2.2839326389152257,0.0223754900776596,229,61
UK,COVID_2020,2020-03,log_diff_pct,UNEMPLOYMENT,-0.10792123022793461,0.20548643755720944,0.1707991558995524,0.33475336360422875,0.278720386127487,0.39279064457328655,0.70959018494516,0.4779583078943368,229,61
UK,COVID_2020,2020-03,log_diff_pct,GDP,-0.0036672888509373005,0.008877370974430985,0.01969896051917558,0.004013241551188917,0.02336624937011288,0.009742372563490833,2.398414679569636,0.01646621208248944,229,61
