date,USA_CPI_lag1,USA_CPI_lag3,USA_CPI_lag6,USA_CPI_lag12,USA_POLICY_RATE_lag1,USA_POLICY_RATE_lag3,USA_POLICY_RATE_lag6,USA_POLICY_RATE_lag12,USA_UNEMPLOYMENT_lag1,USA_UNEMPLOYMENT_lag3,USA_UNEMPLOYMENT_lag6,USA_UNEMPLOYMENT_lag12,USA_GDP_lag1,USA_GDP_lag3,USA_GDP_lag6,USA_GDP_lag12,USA_M2_lag1,USA_M2_lag3,USA_M2_lag6,USA_M2_lag12
2011-01-01,1.437793022217937,1.1666951489314625,1.3407784804821077,2.6211113889767157,-0.010000000000000009,0.0,0.0,-0.009999999999999995,-0.5,-0.09999999999999964,0.0,-0.09999999999999964,4.146405,4.49262,4.794316,2.312454,3.65358,3.304704,2.079518,2.276511
2011-02-01,1.7007834915029774,1.084544776600338,1.1501775395112546,2.151336357866529,-0.009999999999999981,0.0,0.010000000000000009,0.020000000000000004,-0.20000000000000107,0.40000000000000036,0.09999999999999964,0.0,3.974626,4.319067,4.692816,2.928501,4.379726,3.193613,2.65745,2.50021
2011-03-01,2.124898173333145,1.437793022217937,1.1183122472331775,2.2861714393279886,-0.010000000000000009,-0.010000000000000009,0.0,0.03,-0.09999999999999964,-0.5,0.0,0.09999999999999964,3.934049,4.146405,4.592255,3.545965,4.526638,3.65358,3.038432,1.63479
2011-04-01,2.619241510354109,1.7007834915029774,1.1666951489314625,2.2067707525304403,-0.01999999999999999,-0.009999999999999981,0.0,0.04000000000000001,0.0,-0.20000000000000107,-0.09999999999999964,0.0,3.893863,3.974626,4.49262,4.164851,5.256057,4.379726,3.304704,1.950877
2011-05-01,3.0772344447868694,2.124898173333145,1.084544776600338,2.003548929218568,-0.04000000000000001,-0.010000000000000009,0.0,0.0,0.09999999999999964,-0.09999999999999964,0.40000000000000036,-0.3000000000000007,3.854062,3.934049,4.319067,4.375329,5.614392,4.526638,3.193613,1.891303
2011-06-01,3.4589718808964998,2.619241510354109,1.437793022217937,1.1215605940686268,-0.010000000000000009,-0.01999999999999999,-0.010000000000000009,-0.020000000000000018,-0.09999999999999964,0.0,-0.5,-0.1999999999999993,3.682243,3.893863,4.146405,4.58515,5.793937,5.256057,3.65358,1.995437
2011-07-01,3.5023181506360412,3.0772344447868694,1.7007834915029774,1.3407784804821077,0.0,-0.04000000000000001,-0.009999999999999981,0.0,0.09999999999999964,0.09999999999999964,-0.20000000000000107,0.0,3.511649,3.854062,3.974626,4.794316,6.420881,5.614392,4.379726,2.079518
2011-08-01,3.5798809769996165,3.4589718808964998,2.124898173333145,1.1501775395112546,-0.01999999999999999,-0.010000000000000009,-0.010000000000000009,0.010000000000000009,-0.09999999999999964,-0.09999999999999964,-0.09999999999999964,0.09999999999999964,3.342267,3.682243,3.934049,4.692816,8.156722,5.793937,4.526638,2.65745
2011-09-01,3.75499603070808,3.5023181506360412,2.619241510354109,1.1183122472331775,0.03,0.0,-0.01999999999999999,0.0,0.0,0.09999999999999964,0.0,0.0,3.38855,3.511649,3.893863,4.592255,9.704301,6.420881,5.256057,3.038432
2011-10-01,3.812621692818685,3.5798809769996165,3.0772344447868694,1.1666951489314625,-0.020000000000000004,-0.01999999999999999,-0.04000000000000001,0.0,0.0,-0.09999999999999964,0.09999999999999964,-0.09999999999999964,3.434493,3.342267,3.854062,4.49262,9.551883,8.156722,5.614392,3.304704
2011-11-01,3.5222681306640524,3.75499603070808,3.4589718808964998,1.084544776600338,-0.009999999999999995,0.03,-0.010000000000000009,0.0,-0.1999999999999993,0.0,-0.09999999999999964,0.40000000000000036,3.4801,3.38855,3.682243,4.319067,9.306145,9.704301,5.793937,3.193613
2011-12-01,3.451432214581729,3.812621692818685,3.5023181506360412,1.437793022217937,0.009999999999999995,-0.020000000000000004,0.0,-0.010000000000000009,-0.20000000000000107,0.0,0.09999999999999964,-0.5,3.878424,3.434493,3.511649,4.146405,9.642735,9.551883,6.420881,3.65358
2012-01-01,3.062066838419386,3.5222681306640524,3.5798809769996165,1.7007834915029774,-0.009999999999999995,-0.009999999999999995,-0.01999999999999999,-0.009999999999999981,-0.09999999999999964,-0.1999999999999993,-0.09999999999999964,-0.20000000000000107,4.276022,3.4801,3.342267,3.974626,9.754964,9.306145,8.156722,4.379726
2012-02-01,3.0087663379855023,3.451432214581729,3.75499603070808,2.124898173333145,0.009999999999999995,0.009999999999999995,0.03,-0.010000000000000009,-0.1999999999999993,-0.20000000000000107,0.0,-0.09999999999999964,4.672895,3.878424,3.38855,3.934049,10.267827,9.642735,9.704301,4.526638
2012-03-01,2.8981784423473878,3.062066838419386,3.812621692818685,2.619241510354109,0.020000000000000004,-0.009999999999999995,-0.020000000000000004,-0.01999999999999999,0.0,-0.09999999999999964,0.0,0.0,4.505556,4.276022,3.434493,3.893863,10.058003,9.754964,9.551883,5.256057
