country,horizon,response,shock,share
UK,2,CPI,POLICY_RATE,0.006872474046238609
UK,2,CPI,M2,0.025384952872567264
UK,2,POLICY_RATE,GDP,0.0786337314193667
UK,2,POLICY_RATE,UNEMPLOYMENT,0.039041793130832475
UK,2,POLICY_RATE,CPI,0.8470250625985909
UK,2,POLICY_RATE,POLICY_RATE,0.009669781666930971
UK,2,POLICY_RATE,M2,0.02562963118427906
UK,2,M2,GDP,0.08529446030898931
UK,2,M2,UNEMPLOYMENT,0.04139370012828109
UK,2,M2,CPI,0.837758551767666
UK,2,M2,POLICY_RATE,0.009972240326782653
UK,2,M2,M2,0.02558104746828103
UK,3,GDP,GDP,0.0039056480652124668
UK,3,GDP,UNEMPLOYMENT,0.0032231490983835264
UK,3,GDP,CPI,0.010021322434156996
UK,3,GDP,POLICY_RATE,0.9828498804022472
UK,3,GDP,M2,0.0
UK,3,UNEMPLOYMENT,GDP,0.013102532639874544
UK,3,UNEMPLOYMENT,UNEMPLOYMENT,0.021228220618782892
UK,3,UNEMPLOYMENT,CPI,0.012433906146067712
UK,3,UNEMPLOYMENT,POLICY_RATE,0.9393631577899331
UK,3,UNEMPLOYMENT,M2,0.013872182805342118
UK,3,CPI,GDP,0.013777350458323005
UK,3,CPI,UNEMPLOYMENT,0.02090781057519309
UK,3,CPI,CPI,0.016780725893229074
UK,3,CPI,POLICY_RATE,0.9330543941434496
UK,3,CPI,M2,0.015479718929805408
UK,3,POLICY_RATE,GDP,0.016832653361369142
UK,3,POLICY_RATE,UNEMPLOYMENT,0.020665748864484888
UK,3,POLICY_RATE,CPI,0.017913909602127593
UK,3,POLICY_RATE,POLICY_RATE,0.9283138544976189
UK,3,POLICY_RATE,M2,0.0162738336743996
UK,3,M2,GDP,0.019106718163813218
UK,3,M2,UNEMPLOYMENT,0.024110611154938906
UK,3,M2,CPI,0.02081526813019807
UK,3,M2,POLICY_RATE,0.920034192696635
UK,3,M2,M2,0.015933209854415004
UK,4,GDP,GDP,0.01441082712208449
UK,4,GDP,UNEMPLOYMENT,0.02029558267454869
UK,4,GDP,CPI,0.004304042912571309
UK,4,GDP,POLICY_RATE,0.024122987673480735
