country,form,alpha,origin_date,target_date,horizon,n_train_origin,actual,forecast,naive_forecast,error,abs_error,sq_error,naive_error,naive_abs_error,naive_sq_error
GERMANY,primary,31.622776601683796,2021-02-01,2021-03-01,1,228,0.5271999999999935,0.3453290140968855,0.6325000000000074,0.18187098590310796,0.18187098590310796,0.033077055513368495,-0.10530000000001394,0.10530000000001394,0.011088090000002935
GERMANY,primary,31.622776601683796,2021-03-01,2021-04-01,1,229,0.31629999999999825,0.2205170900619609,0.5271999999999935,0.09578290993803734,0.09578290993803734,0.009174365836198172,-0.2108999999999952,0.2108999999999952,0.044478809999997974
GERMANY,primary,31.622776601683796,2021-04-01,2021-05-01,1,230,0.2108000000000061,0.23432086619666528,0.31629999999999825,-0.02352086619665919,0.02352086619665919,0.0005532311466411449,-0.10549999999999216,0.10549999999999216,0.011130249999998345
GERMANY,primary,31.622776601683796,2021-05-01,2021-06-01,1,231,0.31629999999999825,0.35380960999996736,0.2108000000000061,-0.03750960999996911,0.03750960999996911,0.0014069708423497824,0.10549999999999216,0.10549999999999216,0.011130249999998345
GERMANY,primary,31.622776601683796,2021-06-01,2021-07-01,1,232,0.5272000000000077,0.21851554045485497,0.31629999999999825,0.30868445954515267,0.30868445954515267,0.095286095564683,0.2109000000000094,0.2109000000000094,0.04447881000000397
GERMANY,primary,31.622776601683796,2021-07-01,2021-08-01,1,233,0.10539999999998884,0.5597295913314962,0.5272000000000077,-0.4543295913315074,0.4543295913315074,0.20641537755945452,-0.4218000000000188,0.4218000000000188,0.17791524000001588
GERMANY,primary,31.622776601683796,2021-08-01,2021-09-01,1,234,0.31630000000001246,0.35301839805027246,0.10539999999998884,-0.036718398050260004,0.036718398050260004,0.0013482407553773376,0.21090000000002362,0.21090000000002362,0.044478810000009965
GERMANY,primary,31.622776601683796,2021-09-01,2021-10-01,1,235,0.5270999999999901,0.343111087451709,0.31630000000001246,0.18398891254828115,0.18398891254828115,0.03385191994069905,0.21079999999997767,0.21079999999997767,0.04443663999999058
GERMANY,primary,31.622776601683796,2021-10-01,2021-11-01,1,236,0.2109000000000094,0.42557378206286467,0.5270999999999901,-0.21467378206285526,0.21467378206285526,0.046084832705170276,-0.3161999999999807,0.3161999999999807,0.09998243999998781
GERMANY,primary,31.622776601683796,2021-11-01,2021-12-01,1,237,0.21079999999999188,0.49091775550740446,0.2109000000000094,-0.2801177555074126,0.2801177555074126,0.07846595695051058,-0.00010000000001753051,0.00010000000001753051,1.0000000003506103e-08
GERMANY,primary,31.622776601683796,2021-12-01,2022-01-01,1,238,0.5272000000000077,0.29306350315472385,0.21079999999999188,0.23413649684528381,0.23413649684528381,0.054819899154981595,0.3164000000000158,0.3164000000000158,0.10010896000000999
GERMANY,primary,31.622776601683796,2022-01-01,2022-02-01,1,239,0.8433999999999884,0.23256031989316162,0.5272000000000077,0.6108396801068268,0.6108396801068268,0.37312511479301047,0.3161999999999807,0.3161999999999807,0.09998243999998781
GERMANY,primary,31.622776601683796,2022-02-01,2022-03-01,1,240,2.214000000000013,0.5912200165735618,0.8433999999999884,1.622779983426451,1.622779983426451,2.6334148746095525,1.3706000000000245,1.3706000000000245,1.878544360000067
GERMANY,primary,31.622776601683796,2022-03-01,2022-04-01,1,241,0.7379999999999995,1.9109246780121087,2.214000000000013,-1.1729246780121092,1.1729246780121092,1.37575230028981,-1.4760000000000133,1.4760000000000133,2.178576000000039
GERMANY,primary,31.622776601683796,2022-04-01,2022-05-01,1,242,1.0542999999999978,1.3875674275290837,0.7379999999999995,-0.3332674275290859,0.3332674275290859,0.11106717825185451,0.31629999999999825,0.31629999999999825,0.1000456899999989
GERMANY,primary,31.622776601683796,2022-05-01,2022-06-01,1,243,0.0,0.9736572055625489,1.0542999999999978,-0.9736572055625489,0.9736572055625489,0.9480083539438715,-1.0542999999999978,1.0542999999999978,1.1115484899999954
GERMANY,primary,31.622776601683796,2022-06-01,2022-07-01,1,244,0.5270999999999901,0.6186008023279572,0.0,-0.09150080232796709,0.09150080232796709,0.008372396826661707,0.5270999999999901,0.5270999999999901,0.2778344099999896
GERMANY,primary,31.622776601683796,2022-07-01,2022-08-01,1,245,0.4217000000000013,0.6086794938605439,0.5270999999999901,-0.18697949386054258,0.18697949386054258,0.03496133112434468,-0.10539999999998884,0.10539999999998884,0.011109159999997646
GERMANY,primary,31.622776601683796,2022-08-01,2022-09-01,1,246,2.10860000000001,0.3159665400081918,0.4217000000000013,1.792633459991818,1.792633459991818,3.2135347218822368,1.6869000000000085,1.6869000000000085,2.8456316100000287
GERMANY,primary,31.622776601683796,2022-09-01,2022-10-01,1,247,0.8433999999999884,0.7630542665332216,2.10860000000001,0.08034573346676677,0.08034573346676677,0.006455436886312726,-1.2652000000000214,1.2652000000000214,1.6007310400000543
GERMANY,primary,31.622776601683796,2022-10-01,2022-11-01,1,248,0.2109000000000094,1.0421727698582162,0.8433999999999884,-0.8312727698582068,0.8312727698582068,0.6910144179077352,-0.632499999999979,0.632499999999979,0.4000562499999734
GERMANY,primary,31.622776601683796,2022-11-01,2022-12-01,1,249,-0.5272000000000077,0.6149798788622921,0.2109000000000094,-1.1421798788622999,1.1421798788622999,1.304574875677898,-0.7381000000000171,0.7381000000000171,0.5447916100000252
GERMANY,primary,31.622776601683796,2022-12-01,2023-01-01,1,250,1.1598000000000042,0.10881963268797434,-0.5272000000000077,1.0509803673120297,1.0509803673120297,1.104559732475329,1.6870000000000118,1.6870000000000118,2.8459690000000397
