country,indicator,chow_test_input,base_form_tested,break_name,break_date,window,start,end,adf_stat,adf_pvalue,adf_usedlag,adf_nobs,adf_crit_5pct,adf_maxlag,adf_error,kpss_stat,kpss_pvalue,kpss_lags,kpss_crit_5pct,kpss_interp_flag,kpss_error,classification,n_obs,small_sample_flag,hard_warn_flag,col_key
UK,GDP,level,level,COVID_2020,2020-03,pre_break,2001-01,2020-02,1.5816483296319177,0.9978014613389321,4,225,-2.874472927517147,14,,0.14680623160329226,0.1,9,0.463,True,,Inconclusive,230,False,False,COVID_2020|pre_break
UK,GDP,level,level,COVID_2020,2020-03,post_break,2020-03,2025-03,-4.399432957415277,0.00029751926232421925,9,51,-2.920142229157715,10,,0.18918878270678843,0.1,4,0.463,True,,Stationary,61,False,False,COVID_2020|post_break
UK,GDP,level,level,ENERGY_2022,2022-02,pre_break,2001-01,2022-01,-1.8918464596001587,0.33590646172308114,15,237,-2.8738137461081323,15,,0.05625658571640243,0.1,9,0.463,True,,Inconclusive,253,False,False,ENERGY_2022|pre_break
UK,GDP,level,level,ENERGY_2022,2022-02,post_break,2022-02,2025-03,-2.301257216544181,0.17156281476974167,1,36,-2.9459512825788754,9,,0.46877819690615535,0.04869860430041547,3,0.463,False,,Non-stationary,38,True,False,ENERGY_2022|post_break
UK,M2,first_diff,first_diff,GFC_2008,2008-09,pre_break,2001-02,2008-08,-3.10126357116388,0.02645981976933192,11,79,-2.898885703483903,11,,0.17336137712319805,0.1,2,0.463,True,,Stationary,91,False,False,GFC_2008|pre_break
UK,M2,first_diff,first_diff,GFC_2008,2008-09,post_break,2008-09,2025-03,-3.1478911440014965,0.023206118573219425,14,184,-2.8773796387256514,14,,0.07991203387922441,0.1,4,0.463,True,,Stationary,199,False,False,GFC_2008|post_break
UK,M2,first_diff,first_diff,COVID_2020,2020-03,pre_break,2001-02,2020-02,-3.3959842294285223,0.011096533097278165,14,214,-2.875142613826617,14,,0.05874413044166579,0.1,2,0.463,True,,Stationary,229,False,False,COVID_2020|pre_break
UK,M2,first_diff,first_diff,COVID_2020,2020-03,post_break,2020-03,2025-03,-2.7277916730578013,0.06935132255065908,10,50,-2.92135992,10,,0.19650844425055766,0.1,2,0.463,True,,Inconclusive,61,False,False,COVID_2020|post_break
UK,M2,first_diff,first_diff,ENERGY_2022,2022-02,pre_break,2001-02,2022-01,-4.098097669770554,0.0009755607038289215,15,236,-2.8738660999177132,15,,0.06461304714029914,0.1,3,0.463,True,,Stationary,252,False,False,ENERGY_2022|pre_break
UK,M2,first_diff,first_diff,ENERGY_2022,2022-02,post_break,2022-02,2025-03,-0.6742246590430584,0.8533134537187111,8,29,-2.9678817237279103,9,,0.3813924613356461,0.08517566321739393,1,0.463,False,,Inconclusive,38,True,False,ENERGY_2022|post_break
GERMANY,CPI,yoy_pct,yoy_pct,GFC_2008,2008-09,pre_break,2002-01,2008-08,-1.4585949874186819,0.5538854211073994,0,79,-2.898885703483903,11,,0.8858722735521518,0.01,5,0.463,True,,Non-stationary,80,False,False,GFC_2008|pre_break
GERMANY,CPI,yoy_pct,yoy_pct,GFC_2008,2008-09,post_break,2008-09,2025-03,-2.7566442590291116,0.06473866316882788,14,184,-2.8773796387256514,14,,0.6681961577093268,0.01643671293551574,9,0.463,False,,Non-stationary,199,False,False,GFC_2008|post_break
GERMANY,CPI,yoy_pct,yoy_pct,COVID_2020,2020-03,pre_break,2002-01,2020-02,-3.0033662675071713,0.034581226880593924,12,205,-2.8757444215841326,14,,0.1842533770904062,0.1,9,0.463,True,,Stationary,218,False,False,COVID_2020|pre_break
GERMANY,CPI,yoy_pct,yoy_pct,COVID_2020,2020-03,post_break,2020-03,2025-03,-3.0618732273740257,0.029506449269573527,6,54,-2.9167703434435808,10,,0.3152133834666919,0.1,5,0.463,True,,Stationary,61,False,False,COVID_2020|post_break
GERMANY,CPI,yoy_pct,yoy_pct,ENERGY_2022,2022-02,pre_break,2002-01,2022-01,-3.164158426020689,0.022155347300326127,12,228,-2.8743015807562924,14,,0.096415101569685,0.1,9,0.463,True,,Stationary,241,False,False,ENERGY_2022|pre_break
GERMANY,CPI,yoy_pct,yoy_pct,ENERGY_2022,2022-02,post_break,2022-02,2025-03,-1.8288246221860611,0.36624785718295505,5,32,-2.9572185644531253,9,,0.6665515446682804,0.01658622321197451,4,0.463,False,,Non-stationary,38,True,False,ENERGY_2022|post_break
