country,indicator,transform,regression,subperiod,start,end,adf_stat,adf_pvalue,adf_usedlag,adf_nobs,adf_crit_5pct,adf_maxlag,adf_error,kpss_stat,kpss_pvalue,kpss_lags,kpss_crit_5pct,kpss_interp_flag,kpss_error,classification,n_obs,small_sample_flag,hard_warn_flag
UK,GDP,level,c,pre_2020,2001-01,2019-12,-1.7907566004156275,0.385060345332029,13,214,-2.875142613826617,14,,0.14710801833141401,0.1,9,0.463,True,,Inconclusive,228,False,False
UK,GDP,level,c,post_2020,2020-01,2025-03,-4.606150889747056,0.0001258393775463108,9,53,-2.9178502070837,10,,0.20896244945535322,0.1,4,0.463,True,,Stationary,63,False,False
UK,M2,first_diff,c,full,2001-02,2025-03,-4.465964360642369,0.00022644232927230087,15,274,-2.8721468827772774,15,,0.04504409230711113,0.1,4,0.463,True,,Stationary,290,False,False
UK,M2,first_diff,c,pre_2020,2001-02,2019-12,-3.364952481625756,0.012213264846857886,14,212,-2.875271898983725,14,,0.06115777547626203,0.1,2,0.463,True,,Stationary,227,False,False
UK,M2,first_diff,c,post_2020,2020-01,2025-03,-2.951724380995072,0.03965533953016095,10,52,-2.918973284023669,10,,0.21662427642481516,0.1,3,0.463,True,,Stationary,63,False,False
GERMANY,CPI,yoy_pct,c,full,2002-01,2025-03,-3.050201243366145,0.030464821157461602,14,264,-2.8725510317187024,15,,0.5130579741572272,0.038725681496120004,10,0.463,False,,Trend-stationary (conflict),279,False,False
GERMANY,CPI,yoy_pct,c,pre_2020,2002-01,2019-12,-2.9916008324972494,0.035686256642753,12,203,-2.875885461947131,14,,0.19102514485612063,0.1,9,0.463,True,,Stationary,216,False,False
GERMANY,CPI,yoy_pct,c,post_2020,2020-01,2025-03,-2.3557321656436376,0.15462229855781162,5,57,-2.913766394626147,10,,0.33211095918718025,0.1,5,0.463,True,,Inconclusive,63,False,False
GERMANY,POLICY_RATE,first_diff,c,full,2001-02,2025-03,-4.784088817544239,5.8328530707151315e-05,3,286,-2.8716994185534745,15,,0.27413860892770364,0.1,9,0.463,True,,Stationary,290,False,False
GERMANY,POLICY_RATE,first_diff,c,pre_2020,2001-02,2019-12,-3.8884810410431943,0.002121274888975123,5,221,-2.874708679520702,14,,0.09291560361907432,0.1,8,0.463,True,,Stationary,227,False,False
