p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,converged,runtime_sec,error
0,0,4,0,0,0,12,5,237.206162499063,257.3173112999194,245.33548828238173,-112.6030812495315,True,0.14980990000003658,
0,0,4,0,0,1,12,6,209.2868958245134,232.34002959758485,218.61709476381995,-97.6434479122567,True,0.31261540000014065,
0,0,4,0,0,2,12,7,202.1273061737614,227.9761751085981,212.60127782566138,-93.0636530868807,True,1.0859665000007226,
0,0,4,0,1,0,12,5,414.80803645871885,434.5678654070658,422.8053498352673,-201.40401822935942,True,0.2782996000005369,
0,0,4,0,1,1,12,6,253.1552877726179,275.7730480906,262.32001296803037,-119.57764388630895,True,0.46145459999934246,
0,0,4,0,1,2,12,7,200.35902578532242,225.67731357671053,210.6288444084282,-92.17951289266121,True,1.800698299999567,
0,0,4,1,0,0,12,6,214.44034598562996,237.66718594253948,223.83602397358842,-100.22017299281498,True,0.322657499998968,
0,0,4,1,0,1,12,7,211.20855244279818,237.55499104059413,221.87163694486281,-97.60427622139909,True,0.4645326000008936,
0,0,4,1,0,2,12,8,174.5981815204381,203.67815907212938,186.38139962882556,-78.29909076021904,True,1.582174799999848,
0,0,4,1,1,0,12,6,332.8425726926621,355.64504029685656,342.0777391693287,-159.42128634633104,True,0.5354408000002877,
0,0,4,1,1,1,12,7,232.57931871571463,258.4281876505513,243.0532903676146,-108.28965935785732,True,0.5928801000009116,
0,0,4,1,1,2,12,8,202.34655063180475,230.8296243971164,213.90009658279874,-92.17327531590237,True,2.1378057999991142,
0,0,4,2,0,0,12,7,206.60109397047776,232.6610569467,217.15556994381103,-95.30054698523888,True,0.7495195999999851,
0,0,4,2,0,1,12,8,207.6232980391041,236.94075638735413,219.49708350910402,-94.81164901955205,True,0.7233594999997877,
0,0,4,2,0,2,12,9,198.77724310376198,231.08832927230785,211.86970766863692,-89.38862155188099,True,1.3884925999991538,
0,0,4,2,1,0,12,7,292.7123217022441,318.2559765093658,303.06917379402995,-138.35616085112204,True,1.548895599999014,
0,0,4,2,1,1,12,8,220.70711800026837,249.44372965828026,232.35857660352747,-101.35355900013418,True,1.0680433999987144,
0,0,4,2,1,2,12,9,206.59334176377888,238.24120150301403,219.4306150426611,-93.29667088188944,True,4.808374899999762,
1,0,0,0,0,0,12,2,272.4911803740923,282.6030944584753,276.57686066345997,-133.24559018704616,True,0.03671000000031199,
1,0,0,0,0,1,12,3,126.21903686884814,139.47186078501528,131.58060019360005,-59.10951843442407,True,0.15358109999942826,
1,0,0,0,0,2,12,4,123.19291607865313,139.45428321888627,129.77952624650362,-56.59645803932656,False,0.5648347000005742,
1,0,0,0,1,0,12,2,490.29872091279145,500.23833884991683,494.3198934063554,-242.14936045639573,True,0.06305539999993925,
1,0,0,0,1,1,12,3,286.82183450975236,299.8309282219389,292.09112264403274,-139.41091725487618,True,0.2264974000008806,
1,0,0,0,1,2,12,4,175.50687685540734,191.44380588461112,181.96917557523352,-82.75343842770367,True,0.5993545000001177,
1,0,0,1,0,0,12,3,199.80772147773737,213.06054539390453,205.1692848024893,-95.90386073886869,True,0.08026520000021264,
1,0,0,1,0,1,12,4,117.72233293458368,134.28836282979262,124.42428709052358,-53.86116646729184,True,0.22583180000037828,
1,0,0,1,0,2,12,5,122.16730578730301,141.6809463555828,130.0712379887236,-55.083652893651504,True,0.6492354999991221,
1,0,0,1,1,0,12,3,358.49416169923967,371.5032554114262,363.76344983352004,-175.24708084961983,True,0.10609839999960968,
1,0,0,1,1,1,12,4,235.19451103645375,251.4558781766869,241.78112120430424,-112.59725551822687,True,0.22421939999912865,
1,0,0,1,1,2,12,5,171.8734322382678,190.99774707331233,179.62819070205921,-79.9367161191339,True,0.8096741999997903,
1,0,0,2,0,0,12,4,157.1732069690299,173.43457410926305,163.7598171368804,-73.58660348451495,True,0.4361537999993743,
1,0,0,2,0,1,12,5,116.74402921653903,136.2576697848188,124.64796141795964,-52.37201460826952,True,0.47096609999971406,
1,0,0,2,0,2,12,6,112.5971313270911,135.3630453234175,121.8183855620818,-49.29856566354555,True,0.8030241999986174,
1,0,0,2,1,0,12,4,275.29088725710255,291.22781628630634,281.7531859769287,-132.64544362855128,True,0.2877390999983618,
1,0,0,2,1,1,12,5,193.42237898791248,212.54669382295702,201.17713745170389,-90.71118949395624,True,0.5719861999987188,
1,0,0,2,1,2,12,6,188.87090709686632,211.1826077377516,197.91812530462295,-87.43545354843316,True,1.165338900000279,
1,0,1,0,0,0,12,3,222.94570620403354,236.40961026412094,228.38633246153435,-107.47285310201677,True,0.042649600000004284,
1,0,1,0,0,1,12,4,77.48330158031516,94.02464006732119,84.175957060484,-33.74165079015758,True,0.2065056999999797,
1,0,1,0,0,2,12,5,74.87291918909183,94.35506362205476,82.76485205896071,-31.436459594545916,False,0.8266856999998708,
1,0,1,0,1,0,12,3,441.4609195424422,454.693990332047,446.81504392657723,-216.7304597712211,True,0.05600939999931143,
1,0,1,0,1,1,12,4,240.1179402655563,256.35306062635874,246.69455099044706,-115.05897013277816,True,0.2416494999997667,
1,0,1,0,1,2,12,5,131.7000236841398,150.7907249858923,139.44181542498237,-59.8500118420699,True,0.8447716999999102,
1,0,1,1,0,0,12,4,147.17798619694045,163.7440160921494,153.87994035288034,-68.58899309847023,True,0.18532389999927545,
1,0,1,1,0,1,12,5,65.290797159989,85.14040334439622,73.3219837361916,-26.6453985799945,True,0.2316368000010698,
