country,variable,horizon,n_obs,rmse,mae,medae,rmse_trimmed,mae_trimmed,mase,medase,rmse_to_mae_ratio
JAPAN,CPI,6,58,0.32039565774314877,0.24787438323303684,0.209551593191367,0.27506903848653746,0.22916940211295764,0.9108879774092079,0.7700595131910392,1.2925726876824206
JAPAN,CPI,12,58,0.34337306466851997,0.28140327471444615,0.25153737084551225,0.30846168864914275,0.26835569395737485,1.0340998387880453,0.9243487123753776,1.2202170177904206
JAPAN,POLICY_RATE,1,58,0.03247804312118421,0.021818264618442978,0.01456216602100445,0.024066690257410667,0.018946888440125906,1.75629736881649,1.1722056870343411,1.4885713272416046
JAPAN,POLICY_RATE,3,58,0.032080442428996034,0.020228771945164783,0.01137923643878275,0.022955550099426653,0.017051657267495596,1.6283485218916147,0.9159904953981206,1.5858818575817757
JAPAN,POLICY_RATE,6,58,0.03775378531087655,0.020285987346343612,0.00893930788840095,0.021357188435807785,0.015054143013197055,1.6329541704298223,0.7195844031595346,1.861077041324359
JAPAN,POLICY_RATE,12,58,0.037797519366774245,0.019420620223624088,0.00893488232765355,0.020072713018635443,0.013823077904584615,1.5632950097554268,0.7192281603129048,1.9462570675675794
JAPAN,M2,1,58,0.2859345008418642,0.1850274279802939,0.1062986861426915,0.2223795264366054,0.15696800988761453,1.3447945648749153,0.7725875938418206,1.5453627819563989
JAPAN,M2,3,58,0.36762633124477595,0.23238475429878958,0.1150824193303239,0.2576926233367466,0.19026743405112287,1.6889915076487378,0.8364284891024818,1.5819726743868017
JAPAN,M2,6,58,0.38192706616679023,0.24767225636198856,0.17050602082736066,0.2556066186746785,0.20593317356022606,1.8001023300252648,1.2392517833167123,1.5420664057284634
JAPAN,M2,12,58,0.4467716311068507,0.2715446575916259,0.166145041154518,0.27731175444791095,0.21609377656190398,1.9736089056425221,1.2075558243684346,1.6452970758818883
UK,GDP,1,51,5.814360053989252,3.696629371506254,1.2778681328987531,4.298640583978278,3.040984557686075,17.327565028758798,5.98987373244818,1.5728815279147375
UK,GDP,3,51,31.79244980655659,16.010068994771,7.558128336641642,16.639022100073934,11.363801077196726,75.04553033099228,35.42793909996423,1.9857784383652703
UK,GDP,6,51,197.77499826558588,55.42251731126242,9.926649368361923,41.436202967605205,22.594817491619022,259.78727544901375,46.53013466099591,3.5684954033186074
UK,GDP,12,51,5104.546553717876,918.5606236198873,9.87281437659817,370.98215248093993,104.72930847717475,4305.65721879373,46.27778874614726,5.557114492456413
UK,UNEMPLOYMENT,1,51,0.36349942474026586,0.24652965976735502,0.1480461718730104,0.2740975790320239,0.21003378550490162,2.886823995203224,1.733597660274629,1.4744652837443284
UK,UNEMPLOYMENT,3,51,0.9170817744946821,0.4142129429744563,0.1940832148122763,0.3810739373613533,0.27818316905872226,4.850369176799332,2.2726842770763955,2.214034568570294
UK,UNEMPLOYMENT,6,51,5.290609493284431,1.388524433704227,0.2074420309399719,1.035221213868149,0.5131990279876715,16.259405285862968,2.429113937431795,3.810238671256538
UK,UNEMPLOYMENT,12,51,134.64800384099885,23.92859032809856,0.1991692056224543,9.504304220034488,2.500425986538155,280.2000732720349,2.3322404388950604,5.627076313095055
UK,CPI,1,51,0.8942602202343346,0.6018280472386829,0.3581597971933524,0.7405776745900106,0.5272578118481742,1.8953614209796459,1.1279671415462424,1.4859065215345042
UK,CPI,3,51,0.9957258885167478,0.6182280568264654,0.3134978178238171,0.6372803771395174,0.48059014345883433,1.9470106347691978,0.9873113627569334,1.6106125846634696
UK,CPI,6,51,5.230650730916874,1.7781148626258196,0.425067153876359,1.4779504923303632,0.9262258107808787,5.599889084855003,1.3386811872251432,2.94168326290943
UK,CPI,12,51,138.7548858646566,25.106181774800493,0.3398063007523221,10.214211279070772,2.876978881337342,79.06791413658891,1.0701657325656806,5.526721948772284
UK,POLICY_RATE,1,51,0.42063046202922744,0.29424683921363337,0.2189561891867038,0.3048035950987672,0.24900135708968626,1.961350524324693,1.4594883588662195,1.429515651394424
UK,POLICY_RATE,3,51,0.673381121521761,0.39973079007962853,0.2275213281938815,0.39037865215587503,0.30807005467154575,2.664471084232049,1.516580696468001,1.6845865723469033
UK,POLICY_RATE,6,51,3.0449580949079498,0.8102516231576113,0.256270635590312,0.4265926656401931,0.3346587865933514,5.400864968208918,1.7082139160011478,3.7580401049263186
UK,POLICY_RATE,12,51,70.43254870992209,12.028906647285048,0.3763401784162734,3.7401260894249653,1.0689918792776443,80.18064840647634,2.5085571292247417,5.855274363262174
UK,M2,1,51,2.808047247675784,1.8108521084966493,0.8674578308174412,2.0689109445196534,1.5015604010143568,2.428112447343548,1.1631458729681015,1.5506772941314328
UK,M2,3,51,9.063969327998683,4.360042405485237,1.805188216856282,4.213675137891556,3.0634017431029363,5.846238456487402,2.42051792003353,2.0788718285390018
UK,M2,6,51,36.51285240246108,8.580233146957378,1.3170362809344336,4.826535136191428,2.7833923725176493,11.504954384448816,1.7659709328747037,4.255461568128698
UK,M2,12,51,792.3580438822797,133.99143088212236,2.714774645050665,40.93336883697133,10.685003434550364,179.6647333240002,3.6401526532459947,5.913497890617713
GERMANY,GDP,1,51,1.2106387307715072,0.7864705134255641,0.5050918547834673,0.8510677227363812,0.6391318400100386,2.703781027497787,1.7364386214035215,1.5393313672987292
GERMANY,GDP,3,51,5.107598253973544,3.579170802709405,1.9983960351984769,4.361930869929248,3.2095924407164484,12.304713203282258,6.870219789756724,1.4270339515809447
GERMANY,GDP,6,51,11.713436060473716,7.728266041416339,4.758175342001399,8.156074159546739,6.436006082274201,26.568750819689306,16.35797400614028,1.5156615983068598
GERMANY,GDP,12,51,36.86808413568106,18.80544126467411,9.702182059182222,15.847733981945032,12.981692950337608,64.65060601405773,33.354811565264235,1.9605008793352539
GERMANY,UNEMPLOYMENT,1,51,0.09690038370587956,0.07137135874062257,0.0538520048246616,0.07627302880113229,0.06334288130838157,1.2127764718331326,0.9150791797273302,1.3576928534881119
GERMANY,UNEMPLOYMENT,3,51,0.25144802760529783,0.14115664502585673,0.0814305864492905,0.14313066979347153,0.11190104457514807,2.3986016372814696,1.3837077095894443,1.7813403510634458
