p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,converged,runtime_sec,error
0,0,4,2,0,0,12,7,38.7848107068735,65.2904585392078,49.50793735637734,-11.39240535343675,True,0.3145550999997795,
0,0,4,2,0,1,12,8,27.8887762874945,57.70763009887059,39.95229376818632,-4.94438814374725,True,0.7099662000000535,
0,0,4,2,0,2,12,9,24.306875983899218,57.18954629084457,37.616687959064585,-2.153437991949608,True,0.9853959000010946,
0,0,4,2,1,0,12,7,59.71577441872441,85.73396184309745,70.2543506872852,-21.857887209362204,True,0.6047281999999541,
0,0,4,2,1,1,12,8,43.59400559820132,72.864466450621,55.44990390033222,-12.797002799100662,True,1.1709914000002755,
0,0,4,2,1,2,12,9,38.508922895377154,70.76638963250917,51.580876729397254,-9.254461447688577,True,2.147522899998876,
1,0,0,0,0,0,12,2,74.95324915914861,85.21485415696547,79.09441627274677,-34.476624579574306,True,0.030869500000335393,
1,0,0,0,0,1,12,3,55.09844943464947,68.56235349473687,60.53907569215027,-23.549224717324734,True,0.07034960000055435,
1,0,0,0,0,2,12,4,50.80925156346825,67.35059005047428,57.50190704363709,-20.404625781734126,True,0.17980469999929483,
1,0,0,0,1,0,12,2,124.98416695449978,135.08209499956533,129.06463664762538,-59.49208347724989,True,0.04904829999941285,
1,0,0,0,1,1,12,3,22.524351341047364,35.75742213065219,27.878475725182433,-7.262175670523682,True,0.24804819999917527,
1,0,0,0,1,2,12,4,31.79618472428449,48.03130508508692,38.37279544917523,-10.898092362142245,True,0.6293877999996766,
1,0,0,1,0,0,12,3,42.81234923855028,56.276253298637684,48.252975496051086,-17.40617461927514,True,0.0915936999990663,
1,0,0,1,0,1,12,4,13.151268102319687,29.981148177428942,19.952050924195692,-1.575634051159844,True,0.2267427000006137,
1,0,0,1,0,2,12,5,22.84907386719528,42.69868005160251,30.880260443397884,-5.42453693359764,True,0.42884440000125323,
1,0,0,1,1,0,12,3,71.76421880296242,84.99728959256724,77.11834318709748,-31.88210940148121,True,0.13901540000006207,
