date,USA_CPI_roll3_mean,USA_CPI_roll3_std,USA_CPI_roll12_mean,USA_CPI_roll12_std,USA_POLICY_RATE_roll3_mean,USA_POLICY_RATE_roll3_std,USA_POLICY_RATE_roll12_mean,USA_POLICY_RATE_roll12_std,USA_UNEMPLOYMENT_roll3_mean,USA_UNEMPLOYMENT_roll3_std,USA_UNEMPLOYMENT_roll12_mean,USA_UNEMPLOYMENT_roll12_std,USA_GDP_roll3_mean,USA_GDP_roll3_std,USA_GDP_roll12_mean,USA_GDP_roll12_std,USA_M2_roll3_mean,USA_M2_roll3_std,USA_M2_roll12_mean,USA_M2_roll12_std
2019-01-01,1.8790996132790043,0.34671698414209723,2.384443529798641,0.3896702053206533,0.06999999999999999,0.059999999999998666,0.0825,0.07545317632930938,0.06666666666666672,0.05773502691896307,0.0,0.12792042981336618,4.032055333333334,0.1803886929087722,5.0663585,0.7635175488526073,3.612102333333333,0.4261404539401625,3.7912640833333335,0.3063032674261302
2019-02-01,1.6696105991004757,0.28861140709485666,2.3223929134686685,0.4630595432139251,0.06666666666666658,0.06506407098647599,0.08166666666666667,0.07637626158259757,0.0,0.17320508075688792,-0.024999999999999984,0.13568010505999362,3.9250010000000004,0.09431495686794145,4.925243083333334,0.8137888864219555,3.885336333333333,0.21425121603931976,3.779044583333333,0.29381088699600294
2019-03-01,1.6298790814225732,0.21992707200413744,2.28507929569004,0.48003665180710064,0.04666666666666671,0.07234178138070128,0.07500000000000001,0.0790281882966741,-0.03333333333333336,0.1527525231651948,-0.01666666666666668,0.1337115846843043,3.891460666666667,0.03945061155843989,4.77523,0.8176610588540639,3.968436,0.07148338343974597,3.7631694166666665,0.2810342645410081
2019-04-01,1.800877118882549,0.25118740611384527,2.2458782263653534,0.482674284422189,0.006666666666666672,0.00577350269188501,0.06083333333333333,0.07354137157636757,-0.09999999999999994,0.09999999999999991,-0.024999999999999984,0.13568010505999362,3.930750000000001,0.03912760972768043,4.616358666666667,0.7679815453810492,3.9540513333333336,0.057590637792327926,3.77803975,0.28795622931185083
2019-05-01,1.8932267922920243,0.10270520122918458,2.16371063865853,0.466790722210176,-0.0033333333333332624,0.023094010767582145,0.057500000000000016,0.0768853928673299,-0.06666666666666658,0.057735026918962366,-0.016666666666666646,0.12673044646258472,4.006742,0.09961422779403446,4.4772285,0.682705241949252,4.070629333333334,0.2402516103782174,3.8184296666666664,0.33098183426956546
2019-06-01,1.8225629733199078,0.16630385445720905,2.0690143220581994,0.43872360270110833,-0.010000000000000083,0.01999999999999661,0.046666666666666655,0.07643575238345122,-0.06666666666666658,0.05773502691896236,-0.033333333333333326,0.1073086739977319,4.119195333333334,0.1491968073128086,4.357689333333333,0.5638675573650032,4.344044,0.363464685123593,3.8691701666666662,0.41416652539966076
2019-07-01,1.7644789282625768,0.08220577346316037,1.9833648678477942,0.3657780051349348,-0.006666666666666672,0.025166114784233227,0.04083333333333333,0.07549332701797193,0.0,0.10000000000000017,-0.008333333333333304,0.09962049198956209,4.267871,0.14815330302089863,4.25759275,0.40392114113030847,4.691797333333333,0.34115092499555755,3.9632316666666667,0.5321258376174588
2019-08-01,1.745055813364586,0.07783354709911473,1.9079246473304927,0.3058217503231552,-0.08666666666666674,0.15947831618540875,0.01833333333333333,0.11738308174003569,0.0,0.10000000000000017,-0.016666666666666646,0.10298573010888737,4.415506666666667,0.14711780222099438,4.204030333333333,0.2946840754966605,5.004712666666666,0.2871936682611988,4.083656833333333,0.6510473820613213
2019-09-01,1.7494900832476217,0.07165536655820363,1.8539615305163535,0.280240985605054,-0.11333333333333329,0.14640127503998465,0.007500000000000007,0.12114041439585724,-0.03333333333333336,0.11547005383792526,-0.01666666666666668,0.1029857301088874,4.562266333333334,0.14632258834621406,4.196560083333334,0.27897158429436486,5.3107766666666665,0.3019943353397914,4.2491375,0.7697356487313876
2019-10-01,1.7187042047748087,0.029680400582752647,1.7907899662997349,0.1961585414696846,-0.18999999999999995,0.09165151389911634,-0.02999999999999999,0.11192529976405127,-0.03333333333333336,0.11547005383792526,-0.016666666666666646,0.10298573010888744,4.708310666666667,0.14576608836535154,4.23474675,0.33454309529350046,5.804536333333334,0.6312774063391788,4.515621833333333,0.9473291112977433
2019-11-01,1.836920599506901,0.22253599218951717,1.7862034510659968,0.18751732062309617,-0.19333333333333327,0.09609023536933008,-0.054166666666666675,0.13200952674528893,0.0,0.10000000000000017,-0.016666666666666646,0.10298573010888744,4.6015526666666675,0.31961586759317123,4.237200583333333,0.3344749246446903,6.408648,0.7385584445465263,4.842331583333333,1.1052101162425316
2019-12-01,2.048597188147997,0.295212003017726,1.812632331534525,0.23666435573387992,-0.16333333333333333,0.14571661996262894,-0.06,0.127493315332787,0.03333333333333336,0.05773502691896289,-0.024999999999999984,0.09653072991634226,4.243429333333334,0.6099299627148476,4.2040879166666665,0.3740233360270435,6.759085,0.30238343292578346,5.095585416666666,1.1515270841129785
