country,form,feature_name,category,selected_alpha,coef_full_train,coef_fold_mean,coef_fold_std,coef_fold_min,coef_fold_max,abs_coef_full,sign_stable,n_folds_same_sign_as_full,rank_abs_full
USA,primary,USA_POLICY_RATE_x_D_COVID_2020,interaction,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5,48
USA,primary,USA_POLICY_RATE_x_D_ENERGY_2022,interaction,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5,52
JAPAN,primary,JAPAN_POLICY_RATE,base,3162.2776601683795,0.0027289482079272506,0.0017091304869830779,0.0011730139355866167,0.0003873004847048209,0.0027014314255326176,0.0027289482079272506,True,5,7
JAPAN,primary,JAPAN_UNEMPLOYMENT,base,3162.2776601683795,-0.0007251769833119951,-0.00015698327241253987,0.0002823072074328804,-0.0006380445553777856,7.964909110717719e-05,0.0007251769833119951,False,3,27
JAPAN,primary,JAPAN_GDP,base,3162.2776601683795,0.0011706385568818246,0.0007116102052869262,0.0007395203546715876,-0.00021842254084953605,0.0013812487960505756,0.0011706385568818246,False,4,22
JAPAN,primary,JAPAN_M2,base,3162.2776601683795,0.000381121810837183,0.00041760593695562695,0.00027951767744972323,0.0001058515892626813,0.0007083909490782174,0.000381121810837183,True,5,34
JAPAN,primary,JAPAN_CPI_lag1,lag,3162.2776601683795,0.003012635525039533,0.0012171523467786063,0.0011177324278025408,-3.2341463199751525e-05,0.002770194233321139,0.003012635525039533,False,4,6
JAPAN,primary,JAPAN_CPI_lag3,lag,3162.2776601683795,-0.0027211282108125395,-0.0015022417643620165,0.000658704256547431,-0.0024214633231193845,-0.0008310855241519192,0.0027211282108125395,True,5,8
JAPAN,primary,JAPAN_CPI_lag6,lag,3162.2776601683795,-0.002228672687421179,-0.0018472720080926267,0.0008155989460907322,-0.00247613759254916,-0.0004762767966298988,0.002228672687421179,True,5,11
JAPAN,primary,JAPAN_CPI_lag12,lag,3162.2776601683795,0.006886695616356789,0.0040251022967690234,0.0017649458110867483,0.0017457030520039083,0.006513987698841018,0.006886695616356789,True,5,2
JAPAN,primary,JAPAN_POLICY_RATE_lag1,lag,3162.2776601683795,0.002565396169805116,0.0018946127753342353,0.0010119957373583624,0.0002438867484116068,0.002740854268581126,0.002565396169805116,True,5,10
JAPAN,primary,JAPAN_POLICY_RATE_lag3,lag,3162.2776601683795,-0.0004669159287914539,-0.00031642178019290724,0.0004178886545470102,-0.0006467607640313274,0.00040767527773566864,0.0004669159287914539,False,4,32
JAPAN,primary,JAPAN_POLICY_RATE_lag6,lag,3162.2776601683795,-0.00010718775132797456,5.475209765217272e-05,0.00029987731446538433,-0.0002574545318714533,0.00039096110882430677,0.00010718775132797456,False,3,40
JAPAN,primary,JAPAN_POLICY_RATE_lag12,lag,3162.2776601683795,0.0002484893235286668,0.00015112771612290127,0.0004800733570121039,-0.0006778440464431543,0.0004965157238875963,0.0002484893235286668,False,4,38
JAPAN,primary,JAPAN_UNEMPLOYMENT_lag1,lag,3162.2776601683795,0.00010309526834238077,-0.00015209388304662566,0.0002938506848690148,-0.0006454862182197734,0.0001115163616943031,0.00010309526834238077,False,2,42
JAPAN,primary,JAPAN_UNEMPLOYMENT_lag3,lag,3162.2776601683795,4.3589860119609825e-05,0.00012382436431058878,0.0003557728216719485,-0.00028517459564777467,0.0005397725345723133,4.3589860119609825e-05,False,3,45
JAPAN,primary,JAPAN_UNEMPLOYMENT_lag6,lag,3162.2776601683795,-0.00039523092629559876,-0.000676298839399562,0.0004299209925506449,-0.0012512409016475089,-0.00015284794780492705,0.00039523092629559876,True,5,33
JAPAN,primary,JAPAN_UNEMPLOYMENT_lag12,lag,3162.2776601683795,-0.00010430082106275655,0.00028737718517390687,0.000501375039920767,-0.00032908454386595346,0.000921592158797644,0.00010430082106275655,False,2,41
JAPAN,primary,JAPAN_GDP_lag1,lag,3162.2776601683795,0.0013179817702335182,0.0007442073313236278,0.0006127342054637328,-6.665556589392532e-06,0.0013922340767649165,0.0013179817702335182,False,4,20
JAPAN,primary,JAPAN_GDP_lag3,lag,3162.2776601683795,0.0014760652264653186,0.000689376168527863,0.0004917186276825764,7.88421978175471e-05,0.001369815423150005,0.0014760652264653186,True,5,16
