country,horizon,shock,response,orth_irf,orth_se,ci_lo,ci_up,cum_irf,cum_se,cum_ci_lo,cum_ci_up
USA,23,CPI,CPI,0.02353287483503355,0.10751217408205044,-0.1871909863657853,0.2342567360358524,3.0985043673323225,1.4401646940479507,0.2757815669983392,5.921227167666306
USA,23,POLICY_RATE,CPI,-0.10907085003492399,0.11503016141912246,-0.33452996641640403,0.11638826634655604,-1.8004539924183494,1.4098024813945171,-4.5636668559516025,0.9627588711149042
USA,23,M2,CPI,0.016722083772401405,0.02217537982066766,-0.026741660676107212,0.06018582822091002,-0.33834819228685825,0.4468245239388258,-1.2141242592069568,0.5374278746332404
USA,24,GDP,CPI,0.03818247237783028,0.05352852328426983,-0.06673343325933859,0.14309837801499914,1.0021912112494848,1.0141048583641714,-0.985454311144291,2.9898367336432607
USA,24,UNEMPLOYMENT,CPI,0.015520512505794545,0.04903649042074714,-0.08059100871886984,0.11163203373045893,1.8416126689922836,0.9726207748862479,-0.0647240497847621,3.7479493877693293
USA,24,CPI,CPI,0.02551326978925875,0.10796662787126653,-0.18610132083842365,0.23712786041694114,3.124017637121581,1.5342745596742375,0.11683950016007572,6.1311957740830865
USA,24,POLICY_RATE,CPI,-0.1170901879450648,0.11941390198271755,-0.3511414358311912,0.11696105994106158,-1.9175441803634141,1.518510600294889,-4.893824956941397,1.0587365962145683
USA,24,M2,CPI,0.016528329092073264,0.021135516210359053,-0.02489728268023048,0.05795394086437701,-0.321819863194785,0.45273202556735515,-1.209174633306801,0.5655349069172311
JAPAN,0,GDP,CPI,-0.004694740778407611,0.01669289447286952,-0.037412813945231875,0.02802333238841665,-0.004694740778407611,0.01669289447286952,-0.037412813945231875,0.02802333238841665
JAPAN,0,UNEMPLOYMENT,CPI,-0.005502204691372723,0.01669021107308517,-0.03821501839461966,0.02721060901187421,-0.005502204691372723,0.01669021107308517,-0.03821501839461966,0.02721060901187421
JAPAN,0,CPI,CPI,0.2851759130882104,0.011800663247968,0.26204661312219313,0.30830521305422764,0.2851759130882104,0.011800663247968,0.26204661312219313,0.30830521305422764
JAPAN,0,POLICY_RATE,CPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAPAN,0,M2,CPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAPAN,1,GDP,CPI,-0.0021100676527173136,0.01631288330337952,-0.03408331892734117,0.029863183621906545,-0.006804808431124925,0.024346759550801806,-0.05452445715069646,0.040914840288446615
JAPAN,1,UNEMPLOYMENT,CPI,0.018341776403072652,0.017623560571266888,-0.016200402316610445,0.052883955122755746,0.01283957171169993,0.025248099684606926,-0.03664670367012964,0.0623258470935295
JAPAN,1,CPI,CPI,0.024911752642435708,0.01764404420490273,-0.009670573999173645,0.05949407928404506,0.3100876657306461,0.021792143308482614,0.2673750648460202,0.35280026661527203
JAPAN,1,POLICY_RATE,CPI,-0.002832550445014285,0.017520597212999065,-0.037172920982492454,0.03150782009246388,-0.002832550445014285,0.017520597212999065,-0.037172920982492454,0.03150782009246388
JAPAN,1,M2,CPI,0.024824050965541154,0.017551049543189146,-0.009576006139109569,0.05922410807019188,0.024824050965541154,0.017551049543189146,-0.009576006139109569,0.05922410807019188
JAPAN,2,GDP,CPI,-0.02400788878753695,0.016429946429526058,-0.056210583789408027,0.008194806214334126,-0.030812697218661873,0.030080457241230776,-0.08977039341147419,0.028144998974150445
JAPAN,2,UNEMPLOYMENT,CPI,0.012506582352466633,0.01768845974111806,-0.022162798740124764,0.04717596344505803,0.025346154064166564,0.030398859352914597,-0.03423561026754605,0.08492791839587918
JAPAN,2,CPI,CPI,-0.03602442230664244,0.017580510279692804,-0.07048222245484034,-0.0015666221584445458,0.2740632434240037,0.028097882126404287,0.21899139445625126,0.3291350923917561
JAPAN,2,POLICY_RATE,CPI,0.021526933734604847,0.01766361060867881,-0.013093743058405619,0.05614761052761531,0.018694383289590562,0.026056600516112603,-0.03237655372199014,0.06976532030117126
JAPAN,2,M2,CPI,0.002017118215109733,0.0172673055338834,-0.03182680063130173,0.035861037061521196,0.026841169180650888,0.025649487446342722,-0.023431826214180843,0.07711416457548262
JAPAN,3,GDP,CPI,0.012995477879178785,0.016120628917305778,-0.018600954798740542,0.04459191055709811,-0.01781721933948309,0.03460588126031276,-0.0856447466096961,0.05001030793072993
JAPAN,3,UNEMPLOYMENT,CPI,-0.0007733111376635434,0.017707660853173574,-0.03548032640988375,0.03393370413455666,0.02457284292650302,0.033657955787392384,-0.041396750416786046,0.0905424362697921
JAPAN,3,CPI,CPI,-0.030821758607790916,0.017736790028921017,-0.06558586706447611,0.0039423498488942756,0.24324148481621277,0.03226583853658342,0.18000044128450926,0.3064825283479163
JAPAN,3,POLICY_RATE,CPI,0.02648949598580196,0.017737387459719957,-0.008275783435249155,0.061254775406853076,0.045183879275392524,0.031220421724767203,-0.01600814730515119,0.10637590585593623
JAPAN,3,M2,CPI,-0.017939509056342166,0.016811712810212896,-0.050890466164359445,0.015011448051675112,0.008901660124308722,0.030358096517944112,-0.05060020905086174,0.06840352929947918
JAPAN,4,GDP,CPI,-0.004893455886886157,0.014623427891214711,-0.03355537455366699,0.023768462779894677,-0.022710675226369246,0.0365605898974766,-0.09436943142542337,0.04894808097268488
JAPAN,4,UNEMPLOYMENT,CPI,-0.020417953750445486,0.017431193834088164,-0.054583093665258285,0.013747186164367313,0.004154889176057535,0.035404834129947396,-0.06523858571863936,0.07354836407075444
JAPAN,4,CPI,CPI,-0.017809631416154225,0.017605847335387167,-0.052317092193513076,0.016697829361204623,0.22543185340005856,0.03485062354271081,0.15712463125634535,0.29373907554377177
JAPAN,4,POLICY_RATE,CPI,-0.029043450945685508,0.016795443344429027,-0.0619625199007664,0.0038756180093953846,0.016140428329707017,0.03370800105991476,-0.04992725374772592,0.08220811040713996
JAPAN,4,M2,CPI,0.011764076184833593,0.016352613222736557,-0.020287045731730062,0.043815198101397244,0.020665736309142313,0.03181294691840831,-0.041687639650937976,0.0830191122692226
JAPAN,5,GDP,CPI,0.018837806755793142,0.013867900173339734,-0.008343277583952736,0.04601889109553902,-0.003872868470576104,0.04002385020721122,-0.08231961487671009,0.07457387793555788
JAPAN,5,UNEMPLOYMENT,CPI,-0.025506177279844545,0.017163320974800594,-0.0591462863904537,0.008133931830764617,-0.02135128810378701,0.036270084828606795,-0.09244065436785634,0.04973807816028231
JAPAN,5,CPI,CPI,0.005367572571077199,0.01758768809742337,-0.029104296099872598,0.039839441242027,0.23079942597113576,0.03729228689667255,0.15770654365365755,0.30389230828861397
JAPAN,5,POLICY_RATE,CPI,-0.017395818877267138,0.016311009079640382,-0.04936539667336229,0.01457375891882801,-0.0012553905475601208,0.0356590720233591,-0.07114717171334395,0.06863639061822371
