date,GERMANY_CPI_lag1,GERMANY_CPI_lag3,GERMANY_CPI_lag6,GERMANY_CPI_lag12,GERMANY_POLICY_RATE_lag1,GERMANY_POLICY_RATE_lag3,GERMANY_POLICY_RATE_lag6,GERMANY_POLICY_RATE_lag12,GERMANY_UNEMPLOYMENT_lag1,GERMANY_UNEMPLOYMENT_lag3,GERMANY_UNEMPLOYMENT_lag6,GERMANY_UNEMPLOYMENT_lag12,GERMANY_GDP_lag1,GERMANY_GDP_lag3,GERMANY_GDP_lag6,GERMANY_GDP_lag12,GERMANY_M2_lag1,GERMANY_M2_lag3,GERMANY_M2_lag6,GERMANY_M2_lag12
2017-02-01,-0.6000999999999976,-0.700099999999992,-0.10009999999999764,0.30005000000001303,-0.0010999999999999899,-0.0020999999999999908,-0.010000000000000009,-0.001700000000000007,0.0,0.0,0.0,0.0,3.596768,3.344652,3.149064,3.783064,0.03731099999999987,-0.24673799999999968,0.027032000000000167,0.03775200000000023
2017-03-01,0.6000999999999976,0.700099999999992,0.0,0.7001499999999936,-0.0013000000000000234,-0.0016999999999999793,-0.004200000000000037,-0.04730000000000001,-0.10000000000000009,0.0,-0.10000000000000009,-0.09999999999999964,3.804637,3.471223,3.183135,3.592579,-0.2117469999999999,0.3741659999999998,-0.0008620000000005845,-0.0363749999999996
2017-04-01,0.20000000000000284,-0.6000999999999976,0.20009999999999195,0.09999999999999432,-0.0006999999999999784,-0.0010999999999999899,-0.003599999999999992,-0.05009999999999998,0.0,0.0,-0.09999999999999964,0.0,4.011713,3.596768,3.217042,3.403513,0.34327099999999966,0.03731099999999987,-0.3415169999999996,-0.11616900000000019
2017-05-01,0.4000999999999948,0.6000999999999976,-0.700099999999992,0.5001000000000033,-0.003400000000000014,-0.0013000000000000234,-0.0020999999999999908,-0.00020000000000003348,0.0,-0.10000000000000009,0.0,0.0,4.218,3.804637,3.344652,3.306755,0.08338000000000001,-0.2117469999999999,-0.24673799999999968,-0.015906000000000198
2017-06-01,0.0,0.20000000000000284,0.700099999999992,0.10000000000000853,-0.0020000000000000018,-0.0006999999999999784,-0.0016999999999999793,0.005500000000000005,0.0,0.0,0.0,0.0,4.494551,4.011713,3.471223,3.210528,-0.3716469999999994,0.34327099999999966,0.3741659999999998,0.10979799999999962
2017-07-01,0.30000000000001137,0.4000999999999948,-0.6000999999999976,0.4000999999999948,0.00019999999999997797,-0.003400000000000014,-0.0010999999999999899,0.0037000000000000366,-0.10000000000000009,0.0,0.0,-0.10000000000000009,4.770101,4.218,3.596768,3.114827,-0.04198100000000071,0.08338000000000001,0.03731099999999987,0.16974300000000042
2017-08-01,0.4000999999999948,0.0,0.6000999999999976,-0.10009999999999764,-0.0007999999999999674,-0.0020000000000000018,-0.0013000000000000234,-0.010000000000000009,0.0,0.0,-0.10000000000000009,0.0,5.044654,4.494551,3.804637,3.149064,-0.20366699999999938,-0.3716469999999994,-0.2117469999999999,0.027032000000000167
2017-09-01,0.09999999999999432,0.30000000000001137,0.20000000000000284,0.0,0.003699999999999981,0.00019999999999997797,-0.0006999999999999784,-0.004200000000000037,0.0,-0.10000000000000009,0.0,-0.10000000000000009,5.226628,4.770101,4.011713,3.183135,0.028218999999999994,-0.04198100000000071,0.34327099999999966,-0.0008620000000005845
2017-10-01,0.10000000000000853,0.4000999999999948,0.4000999999999948,0.20009999999999195,-0.0022999999999999687,-0.0007999999999999674,-0.003400000000000014,-0.003599999999999992,-0.10000000000000009,0.0,0.0,-0.09999999999999964,5.407601,5.044654,4.218,3.217042,0.3443069999999997,-0.20366699999999938,0.08338000000000001,-0.3415169999999996
2017-11-01,-0.20000000000000284,0.09999999999999432,0.0,-0.700099999999992,-0.0009000000000000119,0.003699999999999981,-0.0020000000000000018,-0.0020999999999999908,0.0,0.0,0.0,0.0,5.587582,5.226628,4.494551,3.344652,-0.000496000000000052,0.028218999999999994,-0.3716469999999994,-0.24673799999999968
2017-12-01,-0.4000999999999948,0.10000000000000853,0.30000000000001137,0.700099999999992,0.009799999999999975,-0.0022999999999999687,0.00019999999999997797,-0.0016999999999999793,0.0,-0.10000000000000009,-0.10000000000000009,0.0,4.967561,5.407601,4.770101,3.471223,-0.1859099999999998,0.3443069999999997,-0.04198100000000071,0.3741659999999998
2018-01-01,0.5000999999999891,-0.20000000000000284,0.4000999999999948,-0.6000999999999976,0.006900000000000017,-0.0009000000000000119,-0.0007999999999999674,-0.0010999999999999899,0.0,0.0,0.0,0.0,4.354097,5.587582,5.044654,3.596768,-0.29009600000000013,-0.000496000000000052,-0.20366699999999938,0.03731099999999987
