country,pi0,candidate_date,wald_f
USA,0.1,2022-03-01,30.87497270389074
USA,0.1,2022-04-01,25.726415200933747
USA,0.1,2022-05-01,20.29801126058313
USA,0.1,2022-06-01,15.0214953695187
USA,0.1,2022-07-01,11.116694847470185
USA,0.1,2022-08-01,17.13338239907266
USA,0.1,2022-09-01,24.905292998068663
USA,0.1,2022-10-01,13.236311190286056
USA,0.1,2022-11-01,8.259617616305624
USA,0.1,2022-12-01,6.624187835787879
USA,0.1,2023-01-01,2.7774955227508507
USA,0.1,2023-02-01,1.013632389191034
USA,0.1,2023-03-01,0.5380318360051557
USA,0.1,2023-04-01,0.31369716346878707
USA,0.1,2023-05-01,0.0582242831080678
USA,0.1,2023-06-01,0.03733291817452554
JAPAN,0.1,2003-08-01,5.3337974564562955
JAPAN,0.1,2003-09-01,4.497686993696261
JAPAN,0.1,2003-10-01,4.4995454650673015
JAPAN,0.1,2003-11-01,4.520411827655999
JAPAN,0.1,2003-12-01,5.1995572565385
JAPAN,0.1,2004-01-01,4.857005297462137
JAPAN,0.1,2004-02-01,5.050283246130892
JAPAN,0.1,2004-03-01,5.051663163542536
JAPAN,0.1,2004-04-01,3.840519700340921
JAPAN,0.1,2004-05-01,3.880671587013031
JAPAN,0.1,2004-06-01,3.568702369715504
JAPAN,0.1,2004-07-01,3.273419261320496
JAPAN,0.1,2004-08-01,3.1646756226227915
JAPAN,0.1,2004-09-01,3.132922604599987
JAPAN,0.1,2004-10-01,2.620757425851866
JAPAN,0.1,2004-11-01,1.8388106643052473
JAPAN,0.1,2004-12-01,2.1562213370729513
JAPAN,0.1,2005-01-01,2.7591175906498884
JAPAN,0.1,2005-02-01,2.8524312943830954
JAPAN,0.1,2005-03-01,2.8352143251926814
JAPAN,0.1,2005-04-01,2.5230861343523494
JAPAN,0.1,2005-05-01,2.528680962826205
JAPAN,0.1,2005-06-01,2.546999866969282
JAPAN,0.1,2005-07-01,2.997267721661068
JAPAN,0.1,2005-08-01,3.0420695368960176
JAPAN,0.1,2005-09-01,3.06694780502509
JAPAN,0.1,2005-10-01,2.617510340155032
JAPAN,0.1,2005-11-01,2.6252636433589815
JAPAN,0.1,2005-12-01,3.0115730288337352
JAPAN,0.1,2006-01-01,2.9822213065703007
JAPAN,0.1,2006-02-01,2.954261357882454
JAPAN,0.1,2006-03-01,3.170565649142395
JAPAN,0.1,2006-04-01,3.1195634908239254
JAPAN,0.1,2006-05-01,2.811010102167128
JAPAN,0.1,2006-06-01,2.3000517033814587
JAPAN,0.1,2006-07-01,2.338993833212676
JAPAN,0.1,2006-08-01,3.787888679104732
JAPAN,0.1,2006-09-01,2.293695224924854
JAPAN,0.1,2006-10-01,2.32538067808549
JAPAN,0.1,2006-11-01,2.5312466135653806
JAPAN,0.1,2006-12-01,3.0882311249232974
JAPAN,0.1,2007-01-01,3.0464168172722417
JAPAN,0.1,2007-02-01,3.148595286660061
JAPAN,0.1,2007-03-01,3.3118585901374415
JAPAN,0.1,2007-04-01,3.3358427480581794
JAPAN,0.1,2007-05-01,3.0782543655895496
JAPAN,0.1,2007-06-01,2.9602050978164542
JAPAN,0.1,2007-07-01,3.0640207821673724
JAPAN,0.1,2007-08-01,3.14735362938166
JAPAN,0.1,2007-09-01,2.8719054687642513
JAPAN,0.1,2007-10-01,2.8908069727090697
JAPAN,0.1,2007-11-01,2.7494472970404624
JAPAN,0.1,2007-12-01,2.933130553250698
JAPAN,0.1,2008-01-01,2.823096066735414
JAPAN,0.1,2008-02-01,2.8625696922382478
JAPAN,0.1,2008-03-01,2.9791652321821833
JAPAN,0.1,2008-04-01,2.4525011794765414
JAPAN,0.1,2008-05-01,2.543586952553542
JAPAN,0.1,2008-06-01,2.218733562338953
JAPAN,0.1,2008-07-01,2.142168750583314
JAPAN,0.1,2008-08-01,2.0410222447980724
JAPAN,0.1,2008-09-01,2.166060933535946
JAPAN,0.1,2008-10-01,2.1699204654542017
JAPAN,0.1,2008-11-01,2.293511164683916
JAPAN,0.1,2008-12-01,2.0099614939492207
JAPAN,0.1,2009-01-01,2.0531655688437107
JAPAN,0.1,2009-02-01,2.3515179873603413
JAPAN,0.1,2009-03-01,2.4420579588255693
JAPAN,0.1,2009-04-01,2.1203146993543784
JAPAN,0.1,2009-05-01,2.1792893141805214
JAPAN,0.1,2009-06-01,2.321171421456793
JAPAN,0.1,2009-07-01,2.6180228027904517
JAPAN,0.1,2009-08-01,2.7101723371276782
JAPAN,0.1,2009-09-01,2.2952129313690532
JAPAN,0.1,2009-10-01,2.283794915221567
JAPAN,0.1,2009-11-01,2.4166227662904225
JAPAN,0.1,2009-12-01,2.6113852451354598
JAPAN,0.1,2010-01-01,2.7875098648403442
JAPAN,0.1,2010-02-01,2.7679541974816533
JAPAN,0.1,2010-03-01,2.8135852835342767
JAPAN,0.1,2010-04-01,2.7787995832209424
JAPAN,0.1,2010-05-01,2.7660604193418057
JAPAN,0.1,2010-06-01,2.7426150859581435
JAPAN,0.1,2010-07-01,2.860350875709135
JAPAN,0.1,2010-08-01,3.0715192873539934
JAPAN,0.1,2010-09-01,3.067934514048909
JAPAN,0.1,2010-10-01,3.0421892209561996
JAPAN,0.1,2010-11-01,2.931787510841986
JAPAN,0.1,2010-12-01,3.3644595471732828
JAPAN,0.1,2011-01-01,3.604866038944798
JAPAN,0.1,2011-02-01,3.6612915602844494
JAPAN,0.1,2011-03-01,3.6682437991969556
JAPAN,0.1,2011-04-01,3.617048715915393
JAPAN,0.1,2011-05-01,3.537342142877408
JAPAN,0.1,2011-06-01,3.5569258102791608
JAPAN,0.1,2011-07-01,3.5907981134408287
JAPAN,0.1,2011-08-01,3.6000074741505026
JAPAN,0.1,2011-09-01,3.4578106345126285
JAPAN,0.1,2011-10-01,3.4921823936920076
JAPAN,0.1,2011-11-01,3.479575043029606
JAPAN,0.1,2011-12-01,3.544600318631449
JAPAN,0.1,2012-01-01,3.5256215543431866
JAPAN,0.1,2012-02-01,3.437255796303526
JAPAN,0.1,2012-03-01,3.3200604408603693
JAPAN,0.1,2012-04-01,3.1145509370806623
JAPAN,0.1,2012-05-01,2.9796445277934502
JAPAN,0.1,2012-06-01,3.9742097352411188
JAPAN,0.1,2012-07-01,4.274843967665279
JAPAN,0.1,2012-08-01,4.383533842323958
JAPAN,0.1,2012-09-01,4.313886896726278
JAPAN,0.1,2012-10-01,4.242388898463244
JAPAN,0.1,2012-11-01,4.289244153033204
JAPAN,0.1,2012-12-01,4.7070996233280775
JAPAN,0.1,2013-01-01,4.713275367174656
JAPAN,0.1,2013-02-01,4.652265061311719
JAPAN,0.1,2013-03-01,4.651614274808971
JAPAN,0.1,2013-04-01,4.527097480933723
JAPAN,0.1,2013-05-01,4.415855500044031
JAPAN,0.1,2013-06-01,4.432777264927184
JAPAN,0.1,2013-07-01,4.43956819150863
JAPAN,0.1,2013-08-01,4.31997703481606
JAPAN,0.1,2013-09-01,4.352992536272574
JAPAN,0.1,2013-10-01,4.224119583704933
JAPAN,0.1,2013-11-01,4.238554102006395
JAPAN,0.1,2013-12-01,4.24803630784091
JAPAN,0.1,2014-01-01,4.209807402452854
JAPAN,0.1,2014-02-01,4.2305648190117555
JAPAN,0.1,2014-03-01,4.19594381119212
JAPAN,0.1,2014-04-01,4.3434115005404506
JAPAN,0.1,2014-05-01,2.376242111518389
JAPAN,0.1,2014-06-01,1.8471748557219805
JAPAN,0.1,2014-07-01,1.9843290072313717
JAPAN,0.1,2014-08-01,1.9430394895916556
JAPAN,0.1,2014-09-01,1.8292827547482848
JAPAN,0.1,2014-10-01,1.7568749402800752
JAPAN,0.1,2014-11-01,1.866240411544102
JAPAN,0.1,2014-12-01,2.0442052503612325
JAPAN,0.1,2015-01-01,2.069106161477542
JAPAN,0.1,2015-02-01,2.0928803524694453
JAPAN,0.1,2015-03-01,2.1732076385281673
JAPAN,0.1,2015-04-01,2.1012785139600583
JAPAN,0.1,2015-05-01,1.9656210227497746
JAPAN,0.1,2015-06-01,1.9273786509244342
JAPAN,0.1,2015-07-01,2.043544290717862
JAPAN,0.1,2015-08-01,2.1054956490260732
JAPAN,0.1,2015-09-01,2.0998965412680066
JAPAN,0.1,2015-10-01,2.0760480605312877
JAPAN,0.1,2015-11-01,2.2185600052495005
JAPAN,0.1,2015-12-01,2.601779627861121
JAPAN,0.1,2016-01-01,2.640415344175855
JAPAN,0.1,2016-02-01,2.863565527922285
JAPAN,0.1,2016-03-01,2.829280156236578
JAPAN,0.1,2016-04-01,2.784135282959359
JAPAN,0.1,2016-05-01,2.7276228190883822
JAPAN,0.1,2016-06-01,2.6788033048611757
JAPAN,0.1,2016-07-01,2.7806142900193658
JAPAN,0.1,2016-08-01,2.9975515434833744
JAPAN,0.1,2016-09-01,3.0166458508179224
JAPAN,0.1,2016-10-01,2.9922276898776263
JAPAN,0.1,2016-11-01,2.7842734414825854
JAPAN,0.1,2016-12-01,2.79417042457317
JAPAN,0.1,2017-01-01,2.9037420308619213
JAPAN,0.1,2017-02-01,3.0421221403156267
JAPAN,0.1,2017-03-01,3.159542547819245
JAPAN,0.1,2017-04-01,3.2096100314249214
