date,JAPAN_CPI_lag1,JAPAN_CPI_lag3,JAPAN_CPI_lag6,JAPAN_CPI_lag12,JAPAN_POLICY_RATE_lag1,JAPAN_POLICY_RATE_lag3,JAPAN_POLICY_RATE_lag6,JAPAN_POLICY_RATE_lag12,JAPAN_UNEMPLOYMENT_lag1,JAPAN_UNEMPLOYMENT_lag3,JAPAN_UNEMPLOYMENT_lag6,JAPAN_UNEMPLOYMENT_lag12,JAPAN_GDP_lag1,JAPAN_GDP_lag3,JAPAN_GDP_lag6,JAPAN_GDP_lag12,JAPAN_M2_lag1,JAPAN_M2_lag3,JAPAN_M2_lag6,JAPAN_M2_lag12
2016-04-01,0.10000000000000853,-0.3999999999999915,0.0,0.5,-0.033,0.0,0.009999999999999995,-0.010000000000000009,-0.09999999999999964,-0.09999999999999964,-0.19999999999999973,0.0,0.613269,0.883488,1.624912,2.459145,0.034034999999999815,0.030734999999999957,-0.16152999999999995,-0.0001929999999998877
2016-05-01,0.19999999999998863,0.09999999999999432,-0.4000000000000057,0.29999999999999716,-0.032999999999999995,-0.04000000000000001,0.0,0.010000000000000009,0.0,0.09999999999999964,0.09999999999999964,-0.10000000000000009,0.478245,0.74835,1.375138,2.442776,0.19124300000000005,0.006168000000000173,-0.26997099999999996,0.22365900000000005
2016-06-01,0.10000000000000853,0.10000000000000853,0.0,-0.29999999999999716,-0.023,-0.033,-0.009999999999999995,0.0,0.0,-0.09999999999999964,0.0,0.10000000000000009,0.504349,0.613269,1.12801,2.426429,-0.02724800000000016,0.034034999999999815,-0.13360299999999992,-0.11559700000000017
2016-07-01,-0.10000000000000853,0.19999999999998863,-0.3999999999999915,-0.10000000000000853,0.003999999999999997,-0.032999999999999995,0.0,0.0,-0.10000000000000009,0.0,-0.09999999999999964,-0.10000000000000009,0.530427,0.478245,0.883488,2.410103,0.15981500000000004,0.19124300000000005,0.030734999999999957,0.05404600000000004
2016-08-01,-0.19999999999998863,0.10000000000000853,0.09999999999999432,0.10000000000000853,0.012000000000000004,-0.023,-0.04000000000000001,0.009999999999999995,-0.10000000000000009,0.0,0.09999999999999964,0.10000000000000009,0.556481,0.504349,0.74835,2.147362,0.0007500000000000284,-0.02724800000000016,0.006168000000000173,0.11225299999999994
2016-09-01,0.0,-0.10000000000000853,0.10000000000000853,0.09999999999999432,0.0,0.003999999999999997,-0.033,-0.009999999999999995,0.10000000000000009,-0.10000000000000009,-0.09999999999999964,0.0,0.625954,0.530427,0.613269,1.885633,-0.12826700000000013,0.15981500000000004,0.034034999999999815,-0.276408
2016-10-01,0.09999999999999432,-0.19999999999998863,0.19999999999998863,0.0,-0.009000000000000001,0.012000000000000004,-0.032999999999999995,0.009999999999999995,-0.10000000000000009,-0.10000000000000009,0.0,-0.19999999999999973,0.695516,0.556481,0.478245,1.624912,0.1917200000000001,0.0007500000000000284,0.19124300000000005,-0.16152999999999995
2016-11-01,0.5999999999999943,0.0,0.10000000000000853,-0.4000000000000057,0.015,0.0,-0.023,0.0,0.0,0.10000000000000009,0.0,0.09999999999999964,0.765167,0.625954,0.504349,1.375138,0.09626800000000024,-0.12826700000000013,-0.02724800000000016,-0.26997099999999996
2016-12-01,0.0,0.09999999999999432,-0.10000000000000853,0.0,-0.012000000000000004,-0.009000000000000001,0.003999999999999997,-0.009999999999999995,0.0,-0.10000000000000009,-0.10000000000000009,0.0,0.717992,0.695516,0.530427,1.12801,0.19604699999999964,0.1917200000000001,0.15981500000000004,-0.13360299999999992
2017-01-01,-0.19999999999998863,0.5999999999999943,-0.19999999999998863,-0.3999999999999915,0.0050000000000000044,0.015,0.012000000000000004,0.0,0.0,0.0,-0.10000000000000009,-0.09999999999999964,0.671087,0.765167,0.556481,0.883488,0.1330680000000002,0.09626800000000024,0.0007500000000000284,0.030734999999999957
2017-02-01,-0.20000000000000284,0.0,0.0,0.09999999999999432,-0.0010000000000000009,-0.012000000000000004,0.0,-0.04000000000000001,0.0,0.0,0.10000000000000009,0.09999999999999964,0.624451,0.717992,0.625954,0.74835,0.07609399999999988,0.19604699999999964,-0.12826700000000013,0.006168000000000173
2017-03-01,-0.10000000000000853,-0.19999999999998863,0.09999999999999432,0.10000000000000853,0.006999999999999999,0.0050000000000000044,-0.009000000000000001,-0.033,-0.10000000000000009,0.0,-0.10000000000000009,-0.09999999999999964,0.847801,0.671087,0.695516,0.613269,0.1235520000000001,0.1330680000000002,0.1917200000000001,0.034034999999999815
2017-04-01,0.0,-0.20000000000000284,0.5999999999999943,0.19999999999998863,-0.0040000000000000036,-0.0010000000000000009,0.015,-0.032999999999999995,-0.10000000000000009,0.0,0.0,0.0,1.071657,0.624451,0.765167,0.478245,0.010244000000000142,0.07609399999999988,0.09626800000000024,0.19124300000000005
2017-05-01,0.4000000000000057,-0.10000000000000853,0.0,0.10000000000000853,-0.011999999999999997,0.006999999999999999,-0.012000000000000004,-0.023,0.0,-0.10000000000000009,0.0,0.0,1.29602,0.847801,0.717992,0.504349,-0.22223300000000012,0.1235520000000001,0.19604699999999964,-0.02724800000000016
2017-06-01,0.09999999999999432,0.0,-0.19999999999998863,-0.10000000000000853,0.0010000000000000009,-0.0040000000000000036,0.0050000000000000044,0.003999999999999997,0.20000000000000018,-0.10000000000000009,0.0,-0.10000000000000009,1.603627,1.071657,0.671087,0.530427,-0.16890300000000025,0.010244000000000142,0.1330680000000002,0.15981500000000004
2017-07-01,-0.09999999999999432,0.4000000000000057,-0.20000000000000284,-0.19999999999998863,-0.0030000000000000027,-0.011999999999999997,-0.0010000000000000009,0.012000000000000004,-0.20000000000000018,0.0,0.0,-0.10000000000000009,1.910776,1.29602,0.624451,0.556481,0.12818900000000033,-0.22223300000000012,0.07609399999999988,0.0007500000000000284
2017-08-01,-0.20000000000000284,0.09999999999999432,-0.10000000000000853,0.0,0.0020000000000000018,0.0010000000000000009,0.006999999999999999,0.0,0.0,0.20000000000000018,-0.10000000000000009,0.10000000000000009,2.217467,1.603627,0.847801,0.625954,0.03075899999999976,-0.16890300000000025,0.1235520000000001,-0.12826700000000013
