country,indicator,window,stat,column,source_column,n_total,n_nan,n_valid,source_first_valid,expected_first_valid,got_first_valid,first_valid_match,spot_check_match,spot_check_got,spot_check_expected,nan_is_leading_only,last_valid_date,dtype
UK,CPI,3,mean,UK_CPI_roll3_mean,UK_CPI,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,0.4056845206751715,0.4056845206751715,True,2025-03-01,float64
UK,CPI,3,std,UK_CPI_roll3_std,UK_CPI,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,0.23263798306136202,0.23263798306136202,True,2025-03-01,float64
UK,CPI,12,mean,UK_CPI_roll12_mean,UK_CPI,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,0.14610398968033791,0.14610398968033797,True,2025-03-01,float64
UK,CPI,12,std,UK_CPI_roll12_std,UK_CPI,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,0.38131186989207716,0.3813118698920771,True,2025-03-01,float64
UK,POLICY_RATE,3,mean,UK_POLICY_RATE_roll3_mean,UK_POLICY_RATE,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,-0.20163333333333325,-0.20163333333333325,True,2025-03-01,float64
UK,POLICY_RATE,3,std,UK_POLICY_RATE_roll3_std,UK_POLICY_RATE,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,0.20908592332659132,0.20908592332659132,True,2025-03-01,float64
UK,POLICY_RATE,12,mean,UK_POLICY_RATE_roll12_mean,UK_POLICY_RATE,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,-0.17935833333333331,-0.17935833333333331,True,2025-03-01,float64
UK,POLICY_RATE,12,std,UK_POLICY_RATE_roll12_std,UK_POLICY_RATE,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,0.5807601467956118,0.5807601467956118,True,2025-03-01,float64
UK,UNEMPLOYMENT,3,mean,UK_UNEMPLOYMENT_roll3_mean,UK_UNEMPLOYMENT,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,-0.09999999999999994,-0.09999999999999994,True,2025-03-01,float64
UK,UNEMPLOYMENT,3,std,UK_UNEMPLOYMENT_roll3_std,UK_UNEMPLOYMENT,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,5.117875266520903e-16,5.128213469680031e-16,True,2025-03-01,float64
UK,UNEMPLOYMENT,12,mean,UK_UNEMPLOYMENT_roll12_mean,UK_UNEMPLOYMENT,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,-0.008333333333333378,-0.008333333333333378,True,2025-03-01,float64
UK,UNEMPLOYMENT,12,std,UK_UNEMPLOYMENT_roll12_std,UK_UNEMPLOYMENT,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,0.07929614610987591,0.07929614610987593,True,2025-03-01,float64
UK,GDP,3,mean,UK_GDP_roll3_mean,UK_GDP,291,2,289,2001-01-01,2001-03-01,2001-03-01,True,True,2.676999,2.676999,True,2025-03-01,float64
UK,GDP,3,std,UK_GDP_roll3_std,UK_GDP,291,2,289,2001-01-01,2001-03-01,2001-03-01,True,True,0.10564560138027501,0.10564560138027501,True,2025-03-01,float64
UK,GDP,12,mean,UK_GDP_roll12_mean,UK_GDP,291,11,280,2001-01-01,2001-12-01,2001-12-01,True,True,2.2826485,2.2826485,True,2025-03-01,float64
UK,GDP,12,std,UK_GDP_roll12_std,UK_GDP,291,11,280,2001-01-01,2001-12-01,2001-12-01,True,True,0.3436790835261341,0.3436790835261343,True,2025-03-01,float64
UK,M2,3,mean,UK_M2_roll3_mean,UK_M2,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,-0.42918499999999976,-0.42918499999999976,True,2025-03-01,float64
UK,M2,3,std,UK_M2_roll3_std,UK_M2,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,0.571574467135298,0.571574467135298,True,2025-03-01,float64
UK,M2,12,mean,UK_M2_roll12_mean,UK_M2,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,-0.3829025833333333,-0.3829025833333333,True,2025-03-01,float64
UK,M2,12,std,UK_M2_roll12_std,UK_M2,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,0.8765795605940024,0.8765795605940024,True,2025-03-01,float64
GERMANY,CPI,3,mean,GERMANY_CPI_roll3_mean,GERMANY_CPI,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,0.27987666666666655,0.27987666666666655,True,2025-03-01,float64
GERMANY,CPI,3,std,GERMANY_CPI_roll3_std,GERMANY_CPI,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,0.24682780927872455,0.24682780927872458,True,2025-03-01,float64
GERMANY,CPI,12,mean,GERMANY_CPI_roll12_mean,GERMANY_CPI,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,0.13993833333333447,0.13993833333333447,True,2025-03-01,float64
GERMANY,CPI,12,std,GERMANY_CPI_roll12_std,GERMANY_CPI,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,0.2798769697184625,0.27987696971846254,True,2025-03-01,float64
GERMANY,POLICY_RATE,3,mean,GERMANY_POLICY_RATE_roll3_mean,GERMANY_POLICY_RATE,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,0.10276666666666667,0.10276666666666667,True,2025-03-01,float64
GERMANY,POLICY_RATE,3,std,GERMANY_POLICY_RATE_roll3_std,GERMANY_POLICY_RATE,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,0.2727963037383999,0.2727963037383999,True,2025-03-01,float64
GERMANY,POLICY_RATE,12,mean,GERMANY_POLICY_RATE_roll12_mean,GERMANY_POLICY_RATE,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,-0.12185833333333329,-0.12185833333333329,True,2025-03-01,float64
GERMANY,POLICY_RATE,12,std,GERMANY_POLICY_RATE_roll12_std,GERMANY_POLICY_RATE,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,0.2497370815963108,0.2497370815963108,True,2025-03-01,float64
GERMANY,UNEMPLOYMENT,3,mean,GERMANY_UNEMPLOYMENT_roll3_mean,GERMANY_UNEMPLOYMENT,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,-0.03333333333333351,-0.03333333333333351,True,2025-03-01,float64
GERMANY,UNEMPLOYMENT,3,std,GERMANY_UNEMPLOYMENT_roll3_std,GERMANY_UNEMPLOYMENT,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,0.05773502691896288,0.05773502691896288,True,2025-03-01,float64
GERMANY,UNEMPLOYMENT,12,mean,GERMANY_UNEMPLOYMENT_roll12_mean,GERMANY_UNEMPLOYMENT,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,0.03333333333333329,0.03333333333333329,True,2025-03-01,float64
GERMANY,UNEMPLOYMENT,12,std,GERMANY_UNEMPLOYMENT_roll12_std,GERMANY_UNEMPLOYMENT,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,0.06513389472789306,0.06513389472789306,True,2025-03-01,float64
GERMANY,GDP,3,mean,GERMANY_GDP_roll3_mean,GERMANY_GDP,291,2,289,2001-01-01,2001-03-01,2001-03-01,True,True,3.1832030000000002,3.1832030000000002,True,2025-03-01,float64
GERMANY,GDP,3,std,GERMANY_GDP_roll3_std,GERMANY_GDP,291,2,289,2001-01-01,2001-03-01,2001-03-01,True,True,0.23894522662108142,0.23894522662108147,True,2025-03-01,float64
GERMANY,GDP,12,mean,GERMANY_GDP_roll12_mean,GERMANY_GDP,291,11,280,2001-01-01,2001-12-01,2001-12-01,True,True,2.9954365833333334,2.9954365833333334,True,2025-03-01,float64
GERMANY,GDP,12,std,GERMANY_GDP_roll12_std,GERMANY_GDP,291,11,280,2001-01-01,2001-12-01,2001-12-01,True,True,0.5151665553999295,0.5151665553999296,True,2025-03-01,float64
GERMANY,M2,3,mean,GERMANY_M2_roll3_mean,GERMANY_M2,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,0.4075863333333336,0.4075863333333336,True,2025-03-01,float64
GERMANY,M2,3,std,GERMANY_M2_roll3_std,GERMANY_M2,291,3,288,2001-02-01,2001-04-01,2001-04-01,True,True,0.6277219178237554,0.6277219178237554,True,2025-03-01,float64
GERMANY,M2,12,mean,GERMANY_M2_roll12_mean,GERMANY_M2,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,0.34203983333333343,0.34203983333333343,True,2025-03-01,float64
GERMANY,M2,12,std,GERMANY_M2_roll12_std,GERMANY_M2,291,12,279,2001-02-01,2002-01-01,2002-01-01,True,True,0.6338559072991035,0.6338559072991035,True,2025-03-01,float64
