p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,converged,runtime_sec,error
0,0,4,1,1,2,12,8,352.3689405083748,381.40066057179365,364.1336989589929,-167.1844702541874,True,1.3512014000007184,
0,0,4,2,0,0,12,7,347.5314587295541,374.03710656188844,358.25458537905797,-165.76572936477706,True,0.24981529999968188,
0,0,4,2,0,1,12,8,349.50857196368145,379.3274257750575,361.57208944437326,-165.75428598184072,True,0.3249615000004269,
0,0,4,2,0,2,12,9,344.7297445132307,377.612414820176,358.03955648839604,-162.36487225661534,True,0.6471490999992966,
0,0,4,2,1,0,12,7,402.23466253930303,428.25284996367606,412.77323880786383,-193.11733126965152,True,0.47783070000150474,
0,0,4,2,1,1,12,8,359.3668996514757,388.63736050389537,371.2227979536066,-170.68344982573785,True,0.7030833000007988,
0,0,4,2,1,2,12,9,350.61169760824595,382.86916434537795,363.68365144226607,-165.30584880412297,True,1.394438999999693,
1,0,0,0,0,0,12,2,384.5747904807127,394.83639547852954,388.71595759431085,-189.28739524035635,True,0.02879380000013043,
1,0,0,0,0,1,12,3,363.5416038881881,377.0055079482755,368.9822301456889,-177.77080194409405,True,0.062409500000285334,
1,0,0,0,0,2,12,4,353.83238432823134,370.3737228152374,360.52503980840015,-171.91619216411567,True,0.14476879999892844,
1,0,0,0,1,0,12,2,552.0360374183621,562.1339654634277,556.1165071114876,-273.01801870918104,True,0.04254979999859643,
1,0,0,0,1,1,12,3,380.32878496601586,393.5618557556207,385.6829093501509,-186.16439248300793,True,0.16739369999959308,
1,0,0,0,1,2,12,4,357.3784671980992,373.61358755890166,363.9550779229899,-173.6892335990496,True,0.4744587000004685,
1,0,0,1,0,0,12,3,364.6189969167336,378.082900976821,370.0596231742344,-178.3094984583668,True,0.078972999999678,
1,0,0,1,0,1,12,4,365.53324016942014,382.3631202445294,372.33402299129614,-177.76662008471007,True,0.09294969999973546,
1,0,0,1,0,2,12,5,355.2783312018404,375.1279373862476,363.309517778043,-171.6391656009202,True,0.23101110000061453,
1,0,0,1,1,0,12,3,463.26007859681215,476.493149386417,468.6142029809472,-227.63003929840607,True,0.10680649999994785,
1,0,0,1,1,1,12,4,377.4877045155009,394.02904300250697,384.18035999566973,-183.74385225775046,True,0.2006877000003442,
1,0,0,1,1,2,12,5,359.0617527700108,378.5438972029737,366.95368563987967,-173.5308763850054,True,0.8630009999997128,
1,0,0,2,0,0,12,4,352.99592230905364,369.5372607960597,359.68857778922245,-171.49796115452682,True,0.13685260000056587,
1,0,0,2,0,1,12,5,354.99439215718917,374.8439983415964,363.0255787333918,-171.49719607859458,True,0.28353170000082173,
1,0,0,2,0,2,12,6,356.9941525785698,380.15202646037824,366.3638702508062,-171.4970762892849,True,0.43864230000144744,
1,0,0,2,1,0,12,4,406.343655497109,422.57877585791147,412.9202662219997,-198.1718277485545,True,0.24919930000032764,
1,0,0,2,1,1,12,5,360.75060980941817,380.2327542423811,368.64254267928703,-174.37530490470908,True,0.596761199998582,
1,0,0,2,1,2,12,6,359.28588506294216,382.0150535680656,368.4931400777892,-172.64294253147108,True,0.6694118999985221,
1,0,1,0,0,0,12,3,376.78870774631616,390.45310935513385,382.3037163344069,-184.39435387315808,True,0.03145769999900949,
1,0,1,0,0,1,12,4,355.2192361581463,372.02569698669345,362.0112863753532,-172.60961807907316,True,0.08190089999880001,
1,0,1,0,0,2,12,5,346.7085175081028,366.5283469564572,354.7284798334499,-167.3542587540514,True,0.33140690000072937,
