country,form,alpha,log10_alpha,fold,train_start,train_end,val_start,val_end,n_train,n_val,train_mse,val_mse
USA,primary,0.1,-1.0,4,2003-01-01,2017-02-01,2017-03-01,2019-12-01,170,34,0.04281170495703353,0.021472112984250197
USA,primary,0.31622776601683794,-0.5,4,2003-01-01,2017-02-01,2017-03-01,2019-12-01,170,34,0.04662407742706966,0.023315158725968853
USA,primary,1.0,0.0,4,2003-01-01,2017-02-01,2017-03-01,2019-12-01,170,34,0.05832881306344408,0.026249922612316706
USA,primary,3.1622776601683795,0.5,4,2003-01-01,2017-02-01,2017-03-01,2019-12-01,170,34,0.07753486384626078,0.03044900882363361
USA,primary,10.0,1.0,4,2003-01-01,2017-02-01,2017-03-01,2019-12-01,170,34,0.09997642535381848,0.036719085992901086
USA,primary,31.622776601683793,1.5,4,2003-01-01,2017-02-01,2017-03-01,2019-12-01,170,34,0.13717117840987736,0.043452806496819804
USA,primary,100.0,2.0,4,2003-01-01,2017-02-01,2017-03-01,2019-12-01,170,34,0.22984700732009453,0.05035900397317581
USA,primary,316.22776601683796,2.5,4,2003-01-01,2017-02-01,2017-03-01,2019-12-01,170,34,0.4401623183670119,0.0710737143248677
USA,primary,1000.0,3.0,4,2003-01-01,2017-02-01,2017-03-01,2019-12-01,170,34,0.7881874268440139,0.10064326823694943
JAPAN,primary,0.001,-3.0,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,1.8827215379587732e-07,40.33681613323587
JAPAN,primary,0.0031622776601683794,-2.5,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,1.662318265184872e-06,39.05532777190107
JAPAN,primary,0.01,-2.0,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,1.2769097545289042e-05,36.56460812210726
JAPAN,primary,0.03162277660168379,-1.5,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,8.232355065419563e-05,34.023021669618046
JAPAN,primary,0.1,-1.0,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.0004191730174293336,32.10998432808523
JAPAN,primary,0.31622776601683794,-0.5,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.0015786600672636375,26.098586423974037
JAPAN,primary,1.0,0.0,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.00411182126490885,20.470709682896633
JAPAN,primary,3.1622776601683795,0.5,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.007806271839736934,20.918144173419634
JAPAN,primary,10.0,1.0,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.013193709118322927,18.995061971322592
JAPAN,primary,31.622776601683793,1.5,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.022655472413758333,11.462406404009837
JAPAN,primary,100.0,2.0,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.037611648563307995,4.03311798581108
