country,origin_date,horizon,target_date,variable,forecast,actual,error
GERMANY,2021-05-01,6,2021-11-01,POLICY_RATE,-0.0579324408668431,-0.0028240000000000487,-0.05510844086684305
GERMANY,2021-05-01,6,2021-11-01,M2,-0.42654971327576435,-0.16803399999999957,-0.2585157132757648
GERMANY,2021-05-01,12,2022-05-01,GDP,-6.04789186057381,8.421143,-14.46903486057381
GERMANY,2021-05-01,12,2022-05-01,UNEMPLOYMENT,0.4501760961707363,0.0,0.4501760961707363
GERMANY,2021-05-01,12,2022-05-01,CPI,0.2628280751925628,1.0542999999999978,-0.791471924807435
GERMANY,2021-05-01,12,2022-05-01,POLICY_RATE,-0.41727955572353664,-0.0010339999999999794,-0.41624555572353666
GERMANY,2021-05-01,12,2022-05-01,M2,0.23789040104020154,-0.10614599999999985,0.3440364010402014
GERMANY,2021-06-01,1,2021-07-01,GDP,6.3208394136592085,7.073499,-0.7526595863407914
GERMANY,2021-06-01,1,2021-07-01,UNEMPLOYMENT,-0.04707462067428826,-0.10000000000000009,0.05292537932571183
GERMANY,2021-06-01,1,2021-07-01,CPI,-0.23968105578451648,0.5272000000000077,-0.7668810557845241
GERMANY,2021-06-01,1,2021-07-01,POLICY_RATE,-0.01667645632503322,-0.0023959999999999537,-0.014280456325033265
GERMANY,2021-06-01,1,2021-07-01,M2,-0.4796722213872855,0.2253160000000003,-0.7049882213872858
GERMANY,2021-06-01,3,2021-09-01,GDP,6.743459121593283,6.989481,-0.24602187840671697
GERMANY,2021-06-01,3,2021-09-01,UNEMPLOYMENT,0.07090163456740853,0.0,0.07090163456740853
GERMANY,2021-06-01,3,2021-09-01,CPI,-0.03444254439826635,0.31630000000001246,-0.3507425443982788
GERMANY,2021-06-01,3,2021-09-01,POLICY_RATE,-0.08669852555606528,-0.0012599999999999278,-0.08543852555606535
GERMANY,2021-06-01,3,2021-09-01,M2,-0.11418923078781809,-0.15681400000000068,0.042624769212182584
GERMANY,2021-06-01,6,2021-12-01,GDP,7.703145949493461,8.541263,-0.8381170505065398
GERMANY,2021-06-01,6,2021-12-01,UNEMPLOYMENT,0.15678713219126367,0.0,0.15678713219126367
GERMANY,2021-06-01,6,2021-12-01,CPI,1.184965185222671,0.21079999999999188,0.9741651852226791
GERMANY,2021-06-01,6,2021-12-01,POLICY_RATE,0.038133056169344814,-0.003134999999999999,0.04126805616934481
GERMANY,2021-06-01,6,2021-12-01,M2,-0.8163686155480282,-0.3571370000000007,-0.4592316155480275
GERMANY,2021-06-01,12,2022-06-01,GDP,0.06782135550858892,8.041675,-7.9738536444914105
GERMANY,2021-06-01,12,2022-06-01,UNEMPLOYMENT,0.438363627218891,0.0,0.438363627218891
GERMANY,2021-06-01,12,2022-06-01,CPI,0.38663964458375755,0.0,0.38663964458375755
GERMANY,2021-06-01,12,2022-06-01,POLICY_RATE,-0.19686749091341785,0.0021169999999999245,-0.19898449091341777
GERMANY,2021-06-01,12,2022-06-01,M2,-0.26746914381723613,-0.26331300000000013,-0.004156143817236002
GERMANY,2021-07-01,1,2021-08-01,GDP,8.207202667782258,7.031257,1.1759456677822584
GERMANY,2021-07-01,1,2021-08-01,UNEMPLOYMENT,-0.08785677870159514,-0.10000000000000009,0.01214322129840495
GERMANY,2021-07-01,1,2021-08-01,CPI,0.0562866765278097,0.10539999999998884,-0.049113323472179136
GERMANY,2021-07-01,1,2021-08-01,POLICY_RATE,0.027006965800101614,-0.0015780000000000793,0.028584965800101694
GERMANY,2021-07-01,1,2021-08-01,M2,0.7187349844983988,0.3049300000000006,0.4138049844983982
GERMANY,2021-07-01,3,2021-10-01,GDP,9.26367584207012,6.948164,2.3155118420701193
GERMANY,2021-07-01,3,2021-10-01,UNEMPLOYMENT,0.06971207110821939,0.0,0.06971207110821939
GERMANY,2021-07-01,3,2021-10-01,CPI,0.8291361354765369,0.5270999999999901,0.30203613547654673
GERMANY,2021-07-01,3,2021-10-01,POLICY_RATE,0.14749691289880684,-0.0010529999999999706,0.1485499128988068
GERMANY,2021-07-01,3,2021-10-01,M2,-0.7349306767498915,-0.23071600000000014,-0.5042146767498914
GERMANY,2021-07-01,6,2022-01-01,GDP,8.881956774493398,9.332999,-0.4510422255066011
GERMANY,2021-07-01,6,2022-01-01,UNEMPLOYMENT,-0.02558728015601136,-0.10000000000000009,0.07441271984398873
GERMANY,2021-07-01,6,2022-01-01,CPI,0.020106027786428782,0.5272000000000077,-0.5070939722135789
GERMANY,2021-07-01,6,2022-01-01,POLICY_RATE,-0.09666904635303536,-0.003094000000000041,-0.09357504635303532
GERMANY,2021-07-01,6,2022-01-01,M2,-0.7160653406572542,-0.42067999999999994,-0.2953853406572543
GERMANY,2021-07-01,12,2022-07-01,GDP,3.337277327410208,7.667958,-4.330680672589791
GERMANY,2021-07-01,12,2022-07-01,UNEMPLOYMENT,0.26159201121333636,0.0,0.26159201121333636
GERMANY,2021-07-01,12,2022-07-01,CPI,0.3821071125880283,0.5270999999999901,-0.1449928874119618
GERMANY,2021-07-01,12,2022-07-01,POLICY_RATE,-0.06784230323063267,0.011560000000000015,-0.07940230323063269
GERMANY,2021-07-01,12,2022-07-01,M2,-0.4859897316947755,-0.22005600000000047,-0.265933731694775
