p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,converged,runtime_sec,error
1,0,3,2,1,0,12,7,-80.93670414261891,-54.96051156533502,-70.41412698279373,48.468352071309454,True,1.2668812999982038,
1,0,3,2,1,1,12,8,-99.25389750905605,-70.03068085961166,-87.41599820425272,58.62694875452802,True,4.283493800001452,
1,0,3,2,1,2,12,9,-105.87337387669648,-73.5622877081506,-92.78090931182152,62.93668693834824,True,4.181947899998704,
1,0,4,0,0,0,12,6,40.5327304711461,64.35147214425206,50.14925546130449,-13.266365235573051,True,0.2572379000012006,
1,0,4,0,0,1,12,7,-19.0287700425932,7.748090203146546,-8.203877782740225,17.5143850212966,True,0.8454825999997411,
1,0,4,0,0,2,12,8,-8.825270787992277,20.76913248825854,3.15355998965655,13.412635393996139,True,0.824283199999627,
1,0,4,0,1,0,12,6,-31.53906803595857,-8.10931532093629,-22.06728730858722,22.769534017979286,True,0.23605080000015732,
1,0,4,0,1,1,12,7,-110.16501916633433,-83.85888292077806,-99.51716958620204,63.082509583167166,True,1.8066294999989623,
1,0,4,0,1,2,12,8,-104.33695740358084,-75.30523734016202,-92.57219895296275,61.16847870179042,True,3.960478700000749,
1,0,4,1,0,0,12,7,-66.66100353608282,-39.73319541590801,-55.77975102108121,41.33050176804141,True,0.41177260000040405,
1,0,4,1,0,1,12,8,-112.49056579572863,-82.36659801927141,-100.31256200339402,65.24528289786431,True,0.48978879999958735,
1,0,4,1,0,2,12,9,-109.22092154978642,-76.33825124284107,-95.91110957462107,64.61046077489321,False,3.9339514000002964,
1,0,4,1,1,0,12,7,-60.594238674197314,-34.12809709498767,-49.885989905927175,38.29711933709866,True,0.524577500000305,
1,0,4,1,1,1,12,8,-111.30304846734575,-81.70864519109493,-99.32421768969692,64.65152423367287,False,2.273281300000235,
1,0,4,1,1,2,12,9,-105.65049696806398,-73.39303023093196,-92.57854313404388,62.82524848403199,True,8.060222199999771,
1,0,4,2,0,0,12,8,-74.61067852633873,-44.836269249727884,-62.56389866203482,46.305339263169365,True,0.8319233000001987,
1,0,4,2,0,1,12,9,-113.14321063962984,-80.06053366561778,-99.75789967929217,66.57160531981492,True,2.2926588999998785,
1,0,4,2,0,2,12,10,-113.48957243581384,-77.31863509817396,-98.84877926313195,67.74478621790692,True,2.2170081000003847,
1,0,4,2,1,0,12,8,-79.06872081647674,-49.84550416703237,-67.23082151167341,48.53436040823837,True,1.6586925999999949,
1,0,4,2,1,1,12,9,-97.36562229362414,-64.89538157201929,-84.21240084384266,58.68281114681207,True,5.805693599999358,
1,0,4,2,1,2,12,10,-102.63568035502806,-67.15246694418283,-88.25653113760595,62.31784017751403,True,4.207361200000378,
2,0,0,0,0,0,12,3,81.59747094988506,95.26187255870275,87.11247953797579,-36.79873547494253,True,0.046445700001640944,
2,0,0,0,0,1,12,4,-6.441070672745926,10.388809402363329,0.359712149130079,8.220535336372963,True,0.14854659999946307,
2,0,0,0,0,2,12,5,-13.025360970523685,6.824245213883543,-4.994174394321082,12.512680485261843,True,0.32664659999863943,
2,0,0,0,1,0,12,3,-36.34226552015807,-22.89709685732037,-30.908625346392533,22.171132760079036,True,0.0678265000005922,
2,0,0,0,1,1,12,4,-110.6037023972978,-94.06236391029177,-103.91104691712896,60.3018511986489,True,0.3310317000014038,
2,0,0,0,1,2,12,5,-109.7207583454846,-90.23861391252169,-101.8288254756157,60.8603791727423,True,0.8077228999991348,
2,0,0,1,0,0,12,4,-71.0155265077914,-54.209065679244276,-64.22347629058449,40.5077632538957,True,0.11404080000102113,
2,0,0,1,0,1,12,5,-111.60332987965886,-91.4355768854023,-103.45286961901056,61.80166493982943,True,0.2775056999998924,
2,0,0,1,0,2,12,6,-119.72297280317011,-96.56509892136168,-110.35325513093375,66.86148640158505,False,1.170839899999919,
2,0,0,1,1,0,12,4,-64.78856766436115,-48.272043124065775,-58.105265726571886,37.39428383218058,True,0.21579080000083195,
2,0,0,1,1,1,12,5,-118.17448928937287,-98.35465984101842,-110.15452696402575,65.08724464468644,True,0.5295945999987453,
2,0,0,1,1,2,12,6,-108.67542084050635,-85.94625233538295,-99.46816582565931,61.337710420253174,True,1.663887099999556,
2,0,0,2,0,0,12,5,-78.8981478224937,-59.07831837413924,-70.87818549714657,45.44907391124685,True,0.3124120000011317,
2,0,0,2,0,1,12,6,-116.14101321519593,-93.0178788587824,-106.78439050229096,65.07050660759796,True,0.6479216999996424,
2,0,0,2,0,2,12,7,-116.88474093018596,-90.45830166571335,-106.19145782972313,66.44237046509298,True,1.0018770999995468,
2,0,0,2,1,0,12,5,-82.78484760544725,-63.3343655150894,-74.90498949438978,47.39242380272363,True,0.43318530000033206,
2,0,0,2,1,1,12,6,-102.46003016587119,-79.76780106045369,-93.26686236963747,58.230015082935594,True,1.5491334999987885,
2,0,0,2,1,2,12,7,-108.79232637308911,-82.85835025261197,-98.28584889167914,62.396163186544555,True,1.6988322000015614,
2,0,1,0,0,0,12,4,54.0967220226549,71.177224033677,60.990482757768305,-22.04836101132745,True,0.12974710000162304,
2,0,1,0,0,1,12,5,-22.03629266997202,-1.8685396757154678,-13.885832409323712,17.01814633498601,True,0.2930937000000995,
2,0,1,0,0,2,12,6,-22.794073064919033,0.32906129149449725,-13.43745035201406,18.397036532459516,True,1.0579310000011901,
2,0,1,0,1,0,12,4,-35.16833379284945,-18.361872964302325,-28.37628357564253,22.584166896424726,True,0.26113030000124127,
2,0,1,0,1,1,12,5,-109.69773091346755,-89.8779014651131,-101.67776858812043,60.848865456733776,True,0.5145244999985152,
2,0,1,0,1,2,12,6,-107.74110608502038,-85.04887697960288,-98.54793828878665,60.87055304251019,True,1.9227539000003162,
2,0,1,1,0,0,12,5,-69.28885640302326,-49.12110340876671,-61.13839614237495,40.64442820151163,True,0.23944870000013907,
2,0,1,1,0,1,12,6,-111.12599857247274,-87.59695341250676,-101.61712826838304,62.56299928623637,True,0.5235671999998885,
2,0,1,1,0,2,12,7,-116.8125817169298,-90.3861424524572,-106.11929861646698,66.4062908584649,True,1.2773846999989473,
2,0,1,1,1,0,12,5,-63.27328254216904,-43.45345309381459,-55.25332021682192,37.63664127108452,True,0.4162331000006816,
2,0,1,1,1,1,12,6,-116.44303782208988,-93.31990346567635,-107.08641510918491,65.22151891104494,True,0.521950199999992,
2,0,1,1,1,2,12,7,-107.12710346794935,-81.19312734747221,-96.62062598653938,61.56355173397468,True,3.1009257000005164,
2,0,1,2,0,0,12,6,-77.1902552643198,-54.06712090790627,-67.83363255141484,45.5951276321599,True,0.6163144000001921,
2,0,1,2,0,1,12,7,-114.88982956079079,-88.46339029631818,-104.19654646032797,65.4449147803954,True,1.205031000001327,
2,0,1,2,0,2,12,8,-115.56755279116152,-85.83780861862984,-103.53760930314084,66.78377639558076,True,1.3052223999984562,
2,0,1,2,1,0,12,6,-81.85571471948373,-59.16348561406623,-72.66254692325,47.927857359741864,True,0.8575287999992725,
2,0,1,2,1,1,12,7,-100.94363074970032,-75.00965462922318,-90.43715326829034,58.47181537485016,True,2.647737999999663,
2,0,1,2,1,2,12,8,-107.53146211613351,-78.35573898059673,-95.7116749495473,62.765731058066756,True,3.996411199999784,
2,0,2,0,0,0,12,5,55.19735735781367,75.66723366894391,63.45999704843484,-21.598678678906836,True,0.36229419999835955,
2,0,2,0,0,1,12,6,-18.85742377003502,4.6386801526690675,-9.360847406229109,16.42871188501751,True,0.8540789999988192,
